date;1. open;2. high;3. low;4. close;5. adjusted close;6. volume;7. dividend amount;8. split coefficient
2021-09-27;123,33;123,5;120,45;120,58;120,58;6481151,0;0,0;1,0
2021-09-24;124,81;125,48;124,27;124,37;124,37;3045957,0;0,0;1,0
2021-09-23;125,42;125,895;124,81;125,3;125,3;4161505,0;0,0;1,0
2021-09-22;125,5;125,74;124,18;124,65;124,65;6553396,0;0,0;1,0
2021-09-21;125,57;126,78;125,1;125,13;125,13;4918788,0;0,0;1,0
2021-09-20;125,6;126,57;123,81;124,87;124,87;5262178,0;0,0;1,0
2021-09-17;126,78;127,8;126,46;126,79;126,79;10046204,0;0,0;1,0
2021-09-16;127,87;127,97;126,3;127,44;127,44;3317341,0;0,0;1,0
2021-09-15;126,88;128,18;126,28;127,49;127,49;4803163,0;0,0;1,0
2021-09-14;127,35;127,99;126,71;127,05;127,05;4197394,0;0,0;1,0
2021-09-13;129,67;129,6992;124,81;126,62;126,62;5810983,0;0,0;1,0
2021-09-10;128,0;129,44;128,0;128,8;128,8;4127392,0;0,0;1,0
2021-09-09;129,15;129,15;127,329;127,98;127,98;4546915,0;0,0;1,0
2021-09-08;128,56;129,52;127,995;129,06;129,06;3121341,0;0,0;1,0
2021-09-07;128,12;128,485;127,05;128,39;128,39;2765661,0;0,0;1,0
2021-09-03;129,0;129,3988;128,15;128,94;128,94;2463390,0;0,0;1,0
2021-09-02;127,5;128,85;127,34;128,49;128,49;3403549,0;0,0;1,0
2021-09-01;125,72;127,46;125,46;127,4;127,4;3484461,0;0,0;1,0
2021-08-31;126,4;127,21;125,91;126,37;126,37;6190397,0;0,0;1,0
2021-08-30;124,53;126,19;124,36;125,94;125,94;3151842,0;0,0;1,0
2021-08-27;125,68;126,26;124,3;124,59;124,59;4094475,0;0,0;1,0
2021-08-26;124,69;126,2725;124,65;125,47;125,47;3991872,0;0,0;1,0
2021-08-25;125,84;125,91;124,17;124,74;124,74;4379038,0;0,0;1,0
2021-08-24;125,6;125,91;124,84;125,5;125,5;3945970,0;0,0;1,0
2021-08-23;126,67;127,3;125,79;125,84;125,84;3906929,0;0,0;1,0
2021-08-20;125,91;126,98;125,12;126,32;126,32;5485778,0;0,0;1,0
2021-08-19;123,72;126,39;123,575;125,72;125,72;4283826,0;0,0;1,0
2021-08-18;125,81;126,08;123,86;123,93;123,93;3585154,0;0,0;1,0
2021-08-17;124,64;126,38;124,37;125,69;125,69;4609726,0;0,0;1,0
2021-08-16;123,69;124,7;123,33;124,66;124,66;4602632,0;0,0;1,0
2021-08-13;122,72;123,226;122,34;123,06;123,06;3398727,0;0,0;1,0
2021-08-12;121,18;123,25;121,0;122,81;122,81;3023662,0;0,0;1,0
2021-08-11;122,84;123,4;121,35;121,46;121,46;3683124,0;0,0;1,0
2021-08-10;123,35;123,56;122,1;122,7;122,7;4357052,0;0,0;1,0
2021-08-09;122,39;123,26;122,03;123,16;123,16;4271295,0;0,0;1,0
2021-08-06;122,0;122,21;121,22;122,17;122,17;3550297,0;0,0;1,0
2021-08-05;122,36;122,36;120,83;122,21;122,21;3258074,0;0,0;1,0
2021-08-04;121,38;122,65;121,01;121,57;121,57;3513439,0;0,0;1,0
2021-08-03;121,38;122,55;121,07;122,12;122,12;3696418,0;0,0;1,0
2021-08-02;121,5;121,78;120,175;120,92;120,92;3646088,0;0,0;1,0
2021-07-30;121,0;121,42;120,4;120,98;120,98;4688845,0;0,0;1,0
2021-07-29;121,08;121,4;120,415;121,09;121,09;3917240,0;0,0;1,0
2021-07-28;119,81;121,07;119,28;120,52;120,52;3796137,0;0,0;1,0
2021-07-27;119,6;121,23;119,6;119,81;119,81;5631002,0;0,0;1,0
2021-07-26;120,24;120,485;118,38;119,52;119,52;4955054,0;0,0;1,0
2021-07-23;119,63;121,1;119,27;120,8;120,8;4736348,0;0,0;1,0
2021-07-22;118,0;118,75;115,86;118,25;118,25;6958136,0;0,0;1,0
2021-07-21;119,22;119,29;117,23;118,98;118,98;4285320,0;0,0;1,0
2021-07-20;118,54;120,0;118,1;118,73;118,73;4678520,0;0,0;1,0
2021-07-19;116,98;119,33;116,925;118,79;118,79;6739677,0;0,0;1,0
2021-07-16;117,04;117,81;116,43;117,51;117,51;3977683,0;0,0;1,0
2021-07-15;116,7;117,16;116,27;116,66;116,66;5761542,0;0,0;1,0
2021-07-14;118,12;118,3;116,86;117,17;117,17;4660619,0;0,45;1,0
2021-07-13;118,57;119,26;118,11;118,65;118,196059344;3877095,0;0,0;1,0
2021-07-12;118,81;119,69;118,44;118,81;118,355447203;3905270,0;0,0;1,0
2021-07-09;119,65;120,24;119,24;119,74;119,281889135;4353592,0;0,0;1,0
2021-07-08;118,86;119,43;117,9646;119,26;118,803725557;3908992,0;0,0;1,0
2021-07-07;119,08;119,98;118,75;119,87;119,41139177;4068676,0;0,0;1,0
2021-07-06;118,0;119,065;117,76;118,82;118,365408944;5040477,0;0,0;1,0
2021-07-02;116,92;118,25;116,65;118,04;117,58839313;4787292,0;0,0;1,0
2021-07-01;115,61;117,29;115,48;117,16;116,711759905;4739640,0;0,0;1,0
2021-06-30;117,0;117,18;115,25;115,93;115,486465737;5844877,0;0,0;1,0
2021-06-29;115,74;118,84;115,46;117,21;116,761568611;8150283,0;0,0;1,0
2021-06-28;112,99;116,36;112,74;115,7;115,25734569;9567288,0;0,0;1,0
2021-06-25;111,88;113,26;111,51;112,72;112,288746812;8750439,0;0,0;1,0
2021-06-24;111,5;113,485;111,41;111,7;111,272649209;9718576,0;0,0;1,0
2021-06-23;110,6;111,26;110,6;110,84;110,415939466;4356141,0;0,0;1,0
2021-06-22;111,66;111,92;110,5;110,96;110,53548036;6519401,0;0,0;1,0
2021-06-21;110,25;112,17;109,7304;111,44;111,013643938;4743614,0;0,0;1,0
2021-06-18;110,0;111,35;110,0;110,33;109,907890665;8832123,0;0,0;1,0
2021-06-17;109,75;111,99;109,73;111,63;111,202917021;5967581,0;0,0;1,0
2021-06-16;110,19;111,11;109,8025;110,06;109,638923652;7014076,0;0,0;1,0
2021-06-15;110,94;111,4;110,1042;110,41;109,987584594;5398786,0;0,0;1,0
2021-06-14;110,08;110,56;109,63;110,48;110,057316783;4888693,0;0,0;1,0
2021-06-11;110,33;110,33;109,51;109,91;109,489497534;6517490,0;0,0;1,0
2021-06-10;109,05;110,25;108,99;110,15;109,728579323;8012722,0;0,0;1,0
2021-06-09;107,81;109,53;107,6;109,05;108,632787791;13780373,0;0,0;1,0
2021-06-08;110,5;110,5;107,825;107,9;107,487187553;8173948,0;0,0;1,0
2021-06-07;109,98;110,88;109,72;110,0;109,579153205;7933572,0;0,0;1,0
2021-06-04;109,3;109,9102;108,41;109,29;108,87186958;7197233,0;0,0;1,0
2021-06-03;107,0;109,67;106,55;109,2;108,782213909;12117950,0;0,0;1,0
2021-06-02;105,79;107,93;105,36;106,9;106,491013433;19215080,0;0,0;1,0
2021-06-01;110,15;111,3;105,6913;105,79;105,38526016;25124055,0;0,0;1,0
2021-05-28;116,47;117,82;116,29;116,65;116,203711104;4813106,0;0,0;1,0
2021-05-27;117,0;117,57;115,61;115,69;115,247383948;10358933,0;0,0;1,0
2021-05-26;117,52;118,275;116,05;116,75;116,303328516;6693116,0;0,0;1,0
2021-05-25;118,0;119,24;117,56;118,4;117,947015814;4704541,0;0,0;1,0
2021-05-24;118,04;118,26;117,24;117,29;116,84126254;3095991,0;0,0;1,0
2021-05-21;118,23;118,95;116,98;117,13;116,681874681;4629348,0;0,0;1,0
2021-05-20;116,55;117,97;116,41;117,8;117,349311342;2858296,0;0,0;1,0
2021-05-19;116,16;116,43;115,155;116,38;115,934744091;3430779,0;0,0;1,0
2021-05-18;116,72;118,0;116,72;116,98;116,532448563;3398438,0;0,0;1,0
2021-05-17;118,0;118,35;116,67;116,74;116,293366774;3732567,0;0,0;1,0
2021-05-14;117,99;118,82;117,33;118,31;117,857360143;3800475,0;0,0;1,0
2021-05-13;117,0;118,03;116,67;117,45;117,0006504;4519652,0;0,0;1,0
2021-05-12;117,17;117,595;116,25;116,35;115,904858868;4745641,0;0,0;1,0
2021-05-11;118,86;119,26;117,96;118,39;117,937054072;5520761,0;0,0;1,0
2021-05-10;119,2;119,945;118,75;118,94;118,484949838;3923211,0;0,0;1,0
2021-05-07;119,77;120,42;118,76;118,95;118,49491158;4076673,0;0,0;1,0
2021-05-06;118,05;118,88;116,7;118,79;118,33552372;4305647,0;0,0;1,0
2021-05-05;117,8;118,87;117,59;118,51;118,056594967;4061321,0;0,0;1,0
2021-05-04;119,2;119,29;116,43;117,54;117,09030607;9221821,0;0,0;1,0
2021-05-03;120,55;120,66;119,1773;119,53;119,072692569;4917576,0;0,0;1,0
2021-04-30;120,5;121,15;119,345;120,08;119,620588335;4773478,0;0,0;1,0
2021-04-29;121,5;121,51;120,01;121,01;120,547030267;3889176,0;0,0;1,0
2021-04-28;121,52;121,92;120,54;121,45;120,98534688;3755874,0;0,0;1,0
2021-04-27;122,0;122,55;121,0;121,7;121,23439041;3384975,0;0,0;1,0
2021-04-26;123,39;123,4;121,95;122,58;122,111023635;4377454,0;0,0;1,0
2021-04-23;123,62;124,11;122,645;123,31;122,838230743;5227015,0;0,0;1,0
2021-04-22;122,81;124,82;122,51;123,5;123,027503826;6366926,0;0,0;1,0
2021-04-21;120,43;122,845;119,8579;122,6;122,130947118;7040450,0;0,0;1,0
2021-04-20;120,5;122,0;119,01;120,0;119,540894406;9908213,0;0,0;1,0
2021-04-19;123,6;125,42;123,59;124,53;124,05356317;6853082,0;0,0;1,0
2021-04-16;124,39;124,6074;122,95;124,35;123,874251828;6243068,0;0,0;1,0
2021-04-15;122,4;124,68;121,9;123,94;123,465820439;4510894,0;0,0;1,0
2021-04-14;122,55;122,83;121,285;121,5;121,035155586;4726734,0;0,45;1,0
2021-04-13;121,05;123,64;120,91;123,01;122,087203679;4944569,0;0,0;1,0
2021-04-12;120,56;121,369;120,48;121,04;120,131982223;2915975,0;0,0;1,0
2021-04-09;119,65;120,93;119,35;120,9;119,993032475;4102501,0;0,0;1,0
2021-04-08;121,01;121,57;119,54;119,78;118,88143449;3768840,0;0,0;1,0
2021-04-07;119,82;120,88;119,6;120,11;119,208958896;4313019,0;0,0;1,0
2021-04-06;120,01;122,01;119,6;119,97;119,070009148;5146395,0;0,0;1,0
2021-04-05;119,65;120,35;119,08;119,86;118,960834346;6314613,0;0,0;1,0
2021-04-01;120,28;120,87;118,78;118,94;118,047736001;4015265,0;0,0;1,0
2021-03-31;120,0;121,45;119,75;119,84;118,940984382;5792830,0;0,0;1,0
2021-03-30;121,5;122,49;119,3789;119,75;118,851659544;5054413,0;0,0;1,0
2021-03-29;121,0;122,74;120,045;122,23;121,313055082;4810103,0;0,0;1,0
2021-03-26;119,28;122,3;118,935;122,07;121,15425537;4857100,0;0,0;1,0
2021-03-25;118,73;119,501;117,24;119,05;118,156910804;5320061,0;0,0;1,0
2021-03-24;120,0;120,45;117,95;118,02;117,134637657;6521405,0;0,0;1,0
2021-03-23;121,77;122,15;119,87;120,49;119,586108213;3788585,0;0,0;1,0
2021-03-22;120,26;122,22;120,01;121,47;120,558756449;5173154,0;0,0;1,0
2021-03-19;118,38;120,99;117,57;120,25;119,347908644;11275167,0;0,0;1,0
2021-03-18;117,5;119,15;117,31;118,11;117,223962495;4253018,0;0,0;1,0
2021-03-17;117,67;118,22;116,915;117,62;116,737638376;3797248,0;0,0;1,0
2021-03-16;118,45;119,44;117,53;118,22;117,333137297;3870506,0;0,0;1,0
2021-03-15;117,19;118,22;116,54;118,1;117,214037513;4652129,0;0,0;1,0
2021-03-12;117,09;117,27;116,12;116,71;115,834465014;3714034,0;0,0;1,0
2021-03-11;116,69;117,865;115,84;117,52;116,638388556;4915710,0;0,0;1,0
2021-03-10;117,24;119,2;115,32;115,88;115,010691507;7640452,0;0,0;1,0
2021-03-09;116,74;119,34;116,49;116,7;115,824540032;5176110,0;0,0;1,0
2021-03-08;117,0;118,28;115,56;115,63;114,762566957;3931566,0;0,0;1,0
2021-03-05;117,0;117,58;114,8;117,25;116,370414042;4859525,0;0,0;1,0
2021-03-04;119,0;119,81;114,74;116,01;115,139716273;6699630,0;0,0;1,0
2021-03-03;121,69;121,89;119,06;119,18;118,28593557;5239587,0;0,0;1,0
2021-03-02;122,21;123,1;121,19;122,53;121,610804542;4908215,0;0,0;1,0
2021-03-01;120,99;122,95;120,61;122,21;121,293205118;3859195,0;0,0;1,0
2021-02-26;122,19;122,36;119,66;119,78;118,88143449;5118019,0;0,0;1,0
2021-02-25;121,66;122,76;120,7745;121,58;120,667931251;3456853,0;0,0;1,0
2021-02-24;120,8;122,91;120,66;122,38;121,461929812;4127524,0;0,0;1,0
2021-02-23;122,25;123,18;120,21;120,8;119,893782655;5566064,0;0,0;1,0
2021-02-22;122,95;122,95;120,53;122,55;121,630654506;4835500,0;0,0;1,0
2021-02-19;125,25;125,39;122,67;123,04;122,116978625;6204206,0;0,0;1,0
2021-02-18;125,47;126,66;124,07;125,41;124,469199361;5435012,0;0,0;1,0
2021-02-17;127,37;128,0;126,39;127,24;126,285471068;3152914,0;0,0;1,0
2021-02-16;128,49;128,5;126,85;128,02;127,059619665;5174034,0;0,0;1,0
2021-02-12;126,41;128,54;126,25;128,23;127,268044287;3658831,0;0,0;1,0
2021-02-11;125,69;126,87;125,2;126,84;125,888471788;3697423,0;0,0;1,0
