date;1. open;2. high;3. low;4. close;5. adjusted close;6. volume;7. dividend amount;8. split coefficient
2021-09-27;337,52;337,72;333,08;334,51;334,51;2025350,0;0,0;1,0
2021-09-24;340,68;342,88;337,72;339,23;339,23;2035894,0;0,0;1,0
2021-09-23;337,62;344,74;337,13;343,0;343,0;4543452,0;0,0;1,0
2021-09-22;335,45;336,81;333,14;334,66;334,66;2441069,0;0,0;1,0
2021-09-21;333,79;335,46;330,865;331,15;331,15;2820305,0;0,0;1,0
2021-09-20;331,1;334,92;328,23;332,29;332,29;2650268,0;0,0;1,0
2021-09-17;340,03;341,515;334,57;335,4;335,4;4455591,0;0,0;1,0
2021-09-16;344,64;345,0;340,22;342,23;342,23;2252682,0;0,0;1,0
2021-09-15;340,24;345,5;339,83;344,43;344,43;1657263,0;0,0;1,0
2021-09-14;341,06;343,26;340,0;340,72;340,72;1758771,0;0,0;1,0
2021-09-13;345,0;345,47;335,87;339,44;339,44;1854238,0;0,0;1,0
2021-09-10;343,5;345,5199;341,5;341,92;341,92;1725414,0;0,0;1,0
2021-09-09;341,46;342,55;339,9;341,1;341,1;1668221,0;0,0;1,0
2021-09-08;340,84;342,27;339,72;340,32;340,32;1392851,0;0,0;1,0
2021-09-07;343,33;344,43;340,21;341,49;341,49;1380697,0;0,0;1,0
2021-09-03;341,0;344,08;340,11;343,33;343,33;1566085,0;0,0;1,0
2021-09-02;338,46;342,05;338,25;341,0;341,0;1600529,0;0,0;1,0
2021-09-01;337,45;339,03;336,66;337,9;337,9;1621136,0;0,0;1,0
2021-08-31;337,2;337,41;335,095;336,56;336,56;1641335,0;0,0;1,0
2021-08-30;335,0;338,65;332,9196;337,0;337,0;973810,0;0,0;1,0
2021-08-27;334,09;335,91;333,3543;335,66;335,66;1126200,0;0,0;1,0
2021-08-26;334,47;334,47;331,2443;333,23;333,23;1702327,0;0,0;1,0
2021-08-25;331,94;334,59;331,13;333,44;333,44;1613857,0;0,0;1,0
2021-08-24;333,14;334,0;330,75;330,91;330,91;1451317,0;0,0;1,0
2021-08-23;334,24;334,88;332,73;332,92;332,92;2017876,0;0,0;1,0
2021-08-20;329,81;333,55;328,33;332,65;332,65;1727098,0;0,0;1,0
2021-08-19;322,81;329,0;322,4501;328,25;328,25;1294224,0;0,0;1,0
2021-08-18;327,37;329,18;324,38;324,55;324,55;1636931,0;0,0;1,0
2021-08-17;327,6;329,95;326,77;329,3;329,3;1531684,0;0,0;1,0
2021-08-16;324,0;328,5;323,14;328,25;328,25;1781709,0;0,0;1,0
2021-08-13;322,19;324,04;321,58;323,45;323,45;969912,0;0,0;1,0
2021-08-12;319,7;321,83;318,64;321,76;321,76;910870,0;0,0;1,0
2021-08-11;320,62;320,86;317,08;319,79;319,79;1841851,0;0,0;1,0
2021-08-10;319,97;322,06;319,06;320,18;320,18;918957,0;0,0;1,0
2021-08-09;322,01;322,26;319,38;319,52;319,52;1225133,0;0,0;1,0
2021-08-06;321,0;322,365;318,5;321,83;321,83;1392597,0;0,0;1,0
2021-08-05;317,91;320,56;317,04;320,31;320,31;1952359,0;0,0;1,0
2021-08-04;318,02;319,19;315,85;316,77;316,77;1448293,0;0,0;1,0
2021-08-03;317,77;319,6;315,5017;318,52;318,52;1979647,0;0,0;1,0
2021-08-02;319,27;319,49;315,5;316,08;316,08;1507184,0;0,0;1,0
2021-07-30;317,71;319,18;316,9;317,68;317,68;2305415,0;0,0;1,0
2021-07-29;317,82;319,14;316,13;318,35;318,35;1844129,0;0,0;1,0
2021-07-28;320,85;321,0;316,12;316,31;316,31;2006264,0;0,0;1,0
2021-07-27;317,88;320,1;315,81;319,89;319,89;1641049,0;0,0;1,0
2021-07-26;318,8;319,7444;316,85;318,98;318,98;1345845,0;0,0;1,0
2021-07-23;316,0;318,8;315,54;318,65;318,65;1220966,0;0,0;1,0
2021-07-22;314,77;315,0;312,7712;314,26;314,26;1274805,0;0,0;1,0
2021-07-21;312,61;314,05;311,95;313,77;313,77;1180339,0;0,0;1,0
2021-07-20;310,0;314,17;308,99;312,06;312,06;1448684,0;0,0;1,0
2021-07-19;308,0;309,785;306,26;309,18;309,18;1851644,0;0,0;1,0
2021-07-16;317,12;317,12;311,3;311,91;311,91;2666146,0;0,0;1,0
2021-07-15;313,88;315,49;313,3;314,94;314,94;1927829,0;0,0;1,0
2021-07-14;313,05;315,52;312,53;314,39;314,39;1743806,0;0,88;1,0
2021-07-13;311,21;313,91;310,05;312,63;311,757368922;1570650,0;0,0;1,0
2021-07-12;311,84;312,18;310,73;311,57;310,700327656;1456879,0;0,0;1,0
2021-07-09;310,6;316,22;310,18;312,62;311,747396834;2054031,0;0,0;1,0
2021-07-08;305,03;309,24;302,66;309,15;308,287082501;1867663,0;0,0;1,0
2021-07-07;305,82;309,79;305,2;309,61;308,745798522;1889909,0;0,0;1,0
2021-07-06;304,86;306,85;301,69;305,4;304,547549719;1856213,0;0,0;1,0
2021-07-02;300,0;305,17;300,0;304,84;303,989112824;2280128,0;0,0;1,0
2021-07-01;295,48;300,06;295,0;300,0;299,162622514;3104089,0;0,0;1,0
2021-06-30;295,99;296,99;293,79;294,79;293,96716497;1595366,0;0,0;1,0
2021-06-29;294,79;297,655;294,6;296,43;295,602587306;2060957,0;0,0;1,0
2021-06-28;294,44;295,87;292,5;293,9;293,07964919;1662419,0;0,0;1,0
2021-06-25;292,33;295,22;290,42;294,66;293,837527833;4233646,0;0,0;1,0
2021-06-24;297,23;297,8;289,55;291,56;290,746180734;3004034,0;0,0;1,0
2021-06-23;287,75;288,4;285,5901;285,7;284,902537508;2161301,0;0,0;1,0
2021-06-22;285,76;286,615;283,71;285,66;284,862649158;2019774,0;0,0;1,0
2021-06-21;283,96;287,495;282,01;285,56;284,762928284;1959400,0;0,0;1,0
2021-06-18;282,84;284,0;280,8;281,25;280,464958607;3134046,0;0,0;1,0
2021-06-17;282,5;285,43;282,5;284,77;283,975133378;1872084,0;0,0;1,0
2021-06-16;287,48;287,48;283,03;283,94;283,147450122;2270300,0;0,0;1,0
2021-06-15;286,85;287,95;285,37;286,19;285,391169791;1408250,0;0,0;1,0
2021-06-14;285,74;285,84;283,18;285,71;284,912509595;1672434,0;0,0;1,0
2021-06-11;285,0;285,57;283,94;285,28;284,483709836;1473088,0;0,0;1,0
2021-06-10;283,53;284,71;282,78;284,22;283,42666857;2007198,0;0,0;1,0
2021-06-09;283,1;283,27;281,54;282,11;281,322558125;1166539,0;0,0;1,0
2021-06-08;282,0;283,48;280,9175;281,45;280,664400355;1321418,0;0,0;1,0
2021-06-07;283,17;284,25;281,06;282,19;281,402334824;1404048,0;0,0;1,0
2021-06-04;281,32;283,442;281,181;283,17;282,379599391;1146226,0;0,0;1,0
2021-06-03;280,0;280,79;277,38;279,63;278,849480445;1540642,0;0,0;1,0
2021-06-02;281,05;283,12;281,05;281,8;281,013423415;2090035,0;0,0;1,0
2021-06-01;285,58;285,58;280,61;280,88;280,095991372;1670861,0;0,0;1,0
2021-05-28;282,55;284,92;282,1;282,16;281,372418562;2005678,0;0,0;1,0
2021-05-27;284,17;285,28;279,15;280,05;279,268308117;7166344,0;0,0;1,0
2021-05-26;285,9;286,83;283,33;283,95;283,15742221;1873464,0;0,0;1,0
2021-05-25;285,8;286,2;283,61;285,99;285,191728043;1761287,0;0,0;1,0
2021-05-24;285,2;286,04;284,215;284,85;284,054910077;1231298,0;0,0;1,0
2021-05-21;285,0;287,14;282,67;283,38;282,589013227;2210223,0;0,0;1,0
2021-05-20;281,7;285,13;281,575;283,95;283,15742221;2094665,0;0,0;1,0
2021-05-19;279,93;281,07;276,88;280,97;280,185740159;1625345,0;0,0;1,0
2021-05-18;285,81;286,7;282,82;283,01;282,220045992;1438405,0;0,0;1,0
2021-05-17;287,64;288,55;286,1;287,0;286,198908872;1499964,0;0,0;1,0
2021-05-14;286,86;294,5;286,617;288,2;287,395559362;1285600,0;0,0;1,0
2021-05-13;281,12;287,25;281,12;285,32;284,523598186;1698244,0;0,0;1,0
2021-05-12;285,23;285,31;279,14;279,39;278,610150347;2116587,0;0,0;1,0
2021-05-11;288,44;288,46;284,565;287,95;287,146257176;1541786,0;0,0;1,0
2021-05-10;290,62;294,1;290,19;290,61;289,798832429;1620690,0;0,0;1,0
2021-05-07;292,2;294,09;291,037;291,53;290,716264472;1394227,0;0,0;1,0
2021-05-06;289,48;291,18;287,611;291,16;290,347297237;1863192,0;0,0;1,0
2021-05-05;292,34;292,83;289,12;289,52;288,711874901;1553800,0;0,0;1,0
2021-05-04;290,89;291,94;289,15;291,6;290,786069084;1810733,0;0,0;1,0
