date;1. open;2. high;3. low;4. close;5. adjusted close;6. volume;7. dividend amount;8. split coefficient
2021-09-27;843,28;847,875;833,0461;835,31;835,31;1063868,0;0,0;1,0
2021-09-24;867,36;873,36;865,12;868,82;868,82;510720,0;0,0;1,0
2021-09-23;877,39;888,72;877,26;879,78;879,78;744483,0;0,0;1,0
2021-09-22;851,83;871,65;849,46;864,74;864,74;669379,0;0,0;1,0
2021-09-21;860,0;862,37;844,49;854,73;854,73;905714,0;0,0;1,0
2021-09-20;838,88;845,49;829,695;840,74;840,74;1122585,0;0,0;1,0
2021-09-17;875,1;875,31;852,4059;859,85;859,85;1670538,0;0,0;1,0
2021-09-16;877,14;889,7849;875,44;887,31;887,31;811597,0;0,0;1,0
2021-09-15;886,99;890,01;879,44;889,33;889,33;799950,0;0,0;1,0
2021-09-14;883,82;895,93;879,68;888,07;888,07;978322,0;0,0;1,0
2021-09-13;869,22;872,21;861,036;871,24;871,24;636279,0;0,0;1,0
2021-09-10;870,94;875,36;857,4;858,87;858,87;1137707,0;0,0;1,0
2021-09-09;855,48;862,76;852,1;853,5;853,5;642040,0;0,0;1,0
2021-09-08;857,61;859,8999;849,92;857,99;857,99;715114,0;0,0;1,0
2021-09-07;865,29;868,88;857,76;861,77;861,77;781120,0;0,0;1,0
2021-09-03;848,52;862,98;848,52;858,105;858,105;698291,0;0,0;1,0
2021-09-02;852,16;862,05;848,865;861,28;861,28;747204,0;0,0;1,0
2021-09-01;838,72;850,7199;836,69;842,17;842,17;582148,0;0,0;1,0
2021-08-31;843,78;844,16;827,21;833,04;833,04;579288,0;0,0;1,0
2021-08-30;839,94;843,01;836,76;839,59;839,59;491038,0;0,0;1,0
2021-08-27;814,2456;834,77;813,77;832,92;832,92;659049,0;0,0;1,0
2021-08-26;808,27;815,83;804,16;810,94;810,94;450126,0;0,0;1,0
2021-08-25;808,42;813,37;805,0;807,87;807,87;471118,0;0,0;1,0
2021-08-24;806,1;807,7117;801,58;805,61;805,61;453813,0;0,0;1,0
2021-08-23;795,03;812,5;794,57;811,62;811,62;724275,0;0,0;1,0
2021-08-20;785,08;790,88;778,01;788,18;788,18;507760,0;0,0;1,0
2021-08-19;761,87;784,01;761,21;781,51;781,51;514117,0;0,0;1,0
2021-08-18;776,22;785,38;772,03;772,45;772,45;452683,0;0,0;1,0
2021-08-17;781,76;783,39;770,4;776,56;776,56;483626,0;0,0;1,0
2021-08-16;787,825;790,97;779,74;787,35;787,35;426734,0;0,0;1,0
2021-08-13;779,14;789,59;776,54;788,96;788,96;454419,0;0,0;1,0
2021-08-12;788,7;788,7;778,525;781,07;781,07;765088,0;0,0;1,0
2021-08-11;791,14;793,34;781,42;789,22;789,22;421649,0;0,0;1,0
2021-08-10;795,59;797,04;783,83;789,29;789,29;589603,0;0,0;1,0
2021-08-09;790,22;792,25;785,6;788,68;788,68;477126,0;0,0;1,0
2021-08-06;784,5;787,19;779,9;783,28;783,28;556983,0;0,0;1,0
2021-08-05;805,51;805,64;790,3201;794,75;794,75;723814,0;0,0;1,0
2021-08-04;792,01;798,57;787,8;795,48;795,48;629844,0;0,0;1,0
2021-08-03;770,53;780,45;767,51;779,53;779,53;533707,0;0,0;1,0
2021-08-02;770,81;775,84;768,41;769,65;769,65;499943,0;0,0;1,0
2021-07-30;760,77;768,7;756,79;766,74;766,74;488177,0;0,0;1,0
2021-07-29;761,63;767,89;759,855;765,71;765,71;631260,0;0,0;1,0
2021-07-28;750,0;761,04;745,4;759,86;759,86;716831,0;0,0;1,0
2021-07-27;751,17;752,1451;733,06;745,6;745,6;881425,0;0,0;1,0
2021-07-26;758,2;758,9999;748,38;754,09;754,09;691917,0;0,0;1,0
2021-07-23;747,79;756,78;743,09;748,14;748,14;1070166,0;0,0;1,0
2021-07-22;733,0;740,055;724,2;729,92;729,92;946261,0;0,0;1,0
2021-07-21;705,935;721,09;700,69;721,0;721,0;1281696,0;0,0;1,0
2021-07-20;676,86;688,66;672,93;684,05;684,05;805554,0;0,0;1,0
2021-07-19;673,85;684,32;671,5925;684,0;684,0;855276,0;0,0;1,0
2021-07-16;702,88;706,99;686,87;687,42;687,42;578599,0;0,0;1,0
2021-07-15;712,57;713,27;696,84;703,94;703,94;729392,0;0,0;1,0
2021-07-14;719,98;723,01;712,88;716,51;716,51;852113,0;0,0;1,0
2021-07-13;706,25;710,6591;703,6;706,42;706,42;623343,0;0,0;1,0
2021-07-12;700,0;708,51;699,17;707,81;707,81;618686,0;0,0;1,0
2021-07-09;683,97;693,0;678,93;691,36;691,36;583669,0;0,0;1,0
2021-07-08;670,98;675,6;664,83;673,685;673,685;849400,0;0,0;1,0
2021-07-07;694,04;695,72;684,371;690,18;690,18;443002,0;0,0;1,0
2021-07-06;689,44;693,55;676,7;685,87;685,87;788685,0;0,0;1,0
2021-07-02;688,49;689,87;683,7;687,54;687,54;449766,0;0,0;1,0
2021-07-01;687,24;691,68;674,53;679,31;679,31;997648,0;0,0;1,0
2021-06-30;694,6;696,57;686,5932;690,84;690,84;767489,0;0,0;1,0
2021-06-29;699,95;705,27;698,2;703,68;703,68;399978,0;0,0;1,0
2021-06-28;698,93;705,8;698,67;704,11;704,11;624071,0;0,0;1,0
2021-06-25;693,93;695,555;685,97;686,21;686,21;431430,0;0,0;1,0
2021-06-24;691,67;697,96;690,67;695,0;695,0;469425,0;0,0;1,0
2021-06-23;686,53;689,23;679,55;681,65;681,65;523547,0;0,0;1,0
2021-06-22;680,49;687,57;676,26;685,81;685,81;542248,0;0,0;1,0
2021-06-21;678,495;681,95;672,4;680,65;680,65;565625,0;0,0;1,0
2021-06-18;685,35;687,2;668,57;671,07;671,07;1610887,0;0,0;1,0
