date;1. open;2. high;3. low;4. close;5. adjusted close;6. volume;7. dividend amount;8. split coefficient
2021-09-27;55,85;56,33;55,75;56,29;56,29;10188410,0;0,0;1,0
2021-09-24;55,92;56,48;55,75;56,24;56,24;11417826,0;0,0;1,0
2021-09-23;56,07;56,89;55,87;56,17;56,17;15254870,0;0,0;1,0
2021-09-22;56,87;57,055;55,905;56,02;56,02;17508111,0;0,0;1,0
2021-09-21;56,97;57,3;55,745;56,06;56,06;13698228,0;0,0;1,0
2021-09-20;56,89;56,99;55,86;56,49;56,49;19287189,0;0,0;1,0
2021-09-17;56,93;57,65;56,805;57,11;57,11;23758579,0;0,0;1,0
2021-09-16;57,25;57,7299;56,4;57,28;57,28;18591045,0;0,0;1,0
2021-09-15;55,5;57,68;55,5;57,0;57,0;37041399,0;0,0;1,0
2021-09-14;60,3477;60,845;55,395;55,59;55,59;54749297,0;0,0;1,0
2021-09-13;59,98;60,59;59,525;59,97;59,97;14018117,0;0,0;1,0
2021-09-10;59,44;59,845;59,06;59,3;59,3;10211538,0;0,0;1,0
2021-09-09;60,37;60,37;59,43;59,56;59,56;10390468,0;0,0;1,0
2021-09-08;60,16;60,515;60,04;60,14;60,14;16750382,0;0,0;1,0
2021-09-07;61,43;61,567;60,2;60,3;60,3;15979332,0;0,0;1,0
2021-09-03;61,4039;61,8;61,33;61,72;61,72;8081434,0;0,0;1,0
2021-09-02;61,37;61,8;61,28;61,75;61,75;10224535,0;0,0;1,0
2021-09-01;61,01;61,52;60,56;61,14;61,14;15040273,0;0,0;1,0
2021-08-31;59,47;60,755;59,41;60,68;60,68;16718697,0;0,0;1,0
2021-08-30;59,23;59,745;59,1;59,71;59,71;11995131,0;0,0;1,0
2021-08-27;59,11;59,51;58,955;59,4;59,4;13129663,0;0,0;1,0
2021-08-26;59,59;59,7;58,97;59,0;59,0;8118817,0;0,0;1,0
2021-08-25;59,51;59,82;59,21;59,48;59,48;7757139,0;0,0;1,0
2021-08-24;59,86;60,045;59,4;59,53;59,53;9613574,0;0,0;1,0
2021-08-23;59,11;60,12;59,0;59,8;59,8;12419829,0;0,0;1,0
2021-08-20;58,8567;59,69;58,7;59,41;59,41;11538238,0;0,0;1,0
2021-08-19;59,03;59,21;58,515;58,96;58,96;10460101,0;0,0;1,0
2021-08-18;59,47;59,68;58,98;59,03;59,03;12514245,0;0,0;1,0
2021-08-17;59,12;59,5;58,81;59,47;59,47;12911586,0;0,0;1,0
2021-08-16;59,14;59,58;58,86;59,25;59,25;12221331,0;0,0;1,0
2021-08-13;59,37;59,5;58,992;59,32;59,32;7525032,0;0,0;1,0
2021-08-12;59,05;59,14;58,59;59,03;59,03;9315096,0;0,0;1,0
2021-08-11;58,91;59,15;58,47;59,09;59,09;8849849,0;0,0;1,0
2021-08-10;58,22;58,46;58,045;58,45;58,45;8229364,0;0,0;1,0
2021-08-09;58,66;58,6896;58,03;58,28;58,28;12119250,0;0,0;1,0
2021-08-06;58,2;58,97;58,1374;58,69;58,69;10589168,0;0,0;1,0
2021-08-05;58,3;58,63;58,02;58,34;58,34;8723538,0;0,0;1,0
2021-08-04;58,01;58,43;57,485;57,97;57,97;9507626,0;0,0;1,0
2021-08-03;58,7;58,75;57,24;58,23;58,23;11207791,0;0,0;1,0
2021-08-02;58,96;59,27;58,01;58,47;58,47;11634279,0;0,0;1,0
2021-07-30;58,07;59,225;57,9075;58,83;58,83;22478502,0;0,0;1,0
2021-07-29;59,2;59,7;58,06;58,11;58,11;19751041,0;0,0;1,0
2021-07-28;58,25;58,54;57,38;57,98;57,98;13239554,0;0,0;1,0
2021-07-27;58,67;59,08;58,28;58,56;58,56;11625284,0;0,0;1,0
2021-07-26;58,21;58,77;58,0;58,7;58,7;11595415,0;0,0;1,0
2021-07-23;57,92;58,59;57,78;58,36;58,36;8550834,0;0,0;1,0
2021-07-22;57,83;57,97;56,89;57,79;57,79;13377476,0;0,0;1,0
2021-07-21;56,93;58,11;56,76;57,81;57,81;13990318,0;0,0;1,0
2021-07-20;56,73;57,44;56,52;57,08;57,08;17575340,0;0,0;1,0
2021-07-19;57,48;57,565;56,32;56,63;56,63;18287472,0;0,0;1,0
2021-07-16;57,9158;58,35;57,5;57,55;57,55;12409875,0;0,0;1,0
2021-07-15;57,64;58,125;57,49;57,95;57,95;12757308,0;0,0;1,0
2021-07-14;58,13;58,18;57,61;57,77;57,77;9776945,0;0,0;1,0
2021-07-13;58,26;58,45;57,7;57,82;57,82;11367221,0;0,0;1,0
2021-07-12;58,255;58,37;57,52;58,26;58,26;11576314,0;0,0;1,0
2021-07-09;58,22;58,71;58,01;58,03;58,03;14741421,0;0,0;1,0
2021-07-08;57,8;58,37;57,41;58,23;58,23;21483596,0;0,0;1,0
2021-07-07;57,98;58,3;57,725;58,17;58,17;12868989,0;0,0;1,0
2021-07-06;57,99;58,27;56,93;57,66;57,66;12866557,0;0,25;1,0
2021-07-02;58,0;58,53;57,83;58,42;58,1677983077;10668607,0;0,0;1,0
2021-07-01;57,07;57,99;57,02;57,75;57,500690727;10034075,0;0,0;1,0
2021-06-30;56,53;57,14;56,38;57,02;56,7738421689;12985109,0;0,0;1,0
2021-06-29;56,17;57,03;56,17;56,54;56,2959143499;12496374,0;0,0;1,0
2021-06-28;56,63;56,69;55,82;56,1;55,8578138491;13483950,0;0,0;1,0
2021-06-25;55,9603;56,6;55,9;56,42;56,1764323951;17280784,0;0,0;1,0
2021-06-24;55,7;56,305;55,6;56,06;55,8179865308;20521530,0;0,0;1,0
2021-06-23;57,47;57,8;54,91;55,48;55,2404904162;34001672,0;0,0;1,0
2021-06-22;57,46;57,805;57,285;57,63;57,3812087722;14324529,0;0,0;1,0
2021-06-21;56,98;57,4;56,86;57,28;57,0327197375;12966116,0;0,0;1,0
2021-06-18;57,25;57,48;56,44;56,71;56,4651804524;26722742,0;0,0;1,0
2021-06-17;56,98;57,87;56,75;57,52;57,271683647;15549381,0;0,0;1,0
2021-06-16;57,67;58,1;56,84;57,12;56,8734104645;13729399,0;0,0;1,0
2021-06-15;57,265;57,77;57,215;57,32;57,0725470558;12092845,0;0,0;1,0
2021-06-14;56,78;57,29;56,255;57,28;57,0327197375;12473862,0;0,0;1,0
2021-06-11;56,5522;56,89;56,42;56,88;56,634446555;9737929,0;0,0;1,0
2021-06-10;56,46;57,04;56,35;56,6;56,3556553272;12373351,0;0,0;1,0
2021-06-09;56,79;56,915;56,22;56,26;56,0171231221;9220893,0;0,0;1,0
2021-06-08;56,79;56,935;56,13;56,43;56,1863892247;14745602,0;0,0;1,0
2021-06-07;56,73;57,235;56,63;56,92;56,6742738733;11099397,0;0,0;1,0
2021-06-04;56,66;57,21;56,43;57,0;56,7539285098;11314937,0;0,0;1,0
2021-06-03;56,515;56,63;55,845;56,39;56,1465619064;10671399,0;0,0;1,0
2021-06-02;57,03;57,03;56,23;56,69;56,4452667933;13816517,0;0,0;1,0
2021-06-01;57,91;57,92;56,84;56,95;56,7041443619;12070213,0;0,0;1,0
2021-05-28;57,68;57,86;57,215;57,34;57,0924607149;13018034,0;0,0;1,0
2021-05-27;57,01;57,465;56,79;57,34;57,0924607149;25521077,0;0,0;1,0
2021-05-26;55,9071;57,53;55,605;56,85;56,6045760663;23719227,0;0,0;1,0
2021-05-25;56,23;56,23;55,5;55,7;55,4595406666;11994098,0;0,0;1,0
2021-05-24;55,3696;55,765;54,8675;55,66;55,4197133483;13206420,0;0,0;1,0
2021-05-21;55,33;55,49;54,92;55,08;54,8422172336;16449295,0;0,0;1,0
2021-05-20;54,1228;55,33;54,09;55,04;54,8023899154;15317196,0;0,0;1,0
2021-05-19;54,61;54,63;53,67;54,24;54,0058435503;18582538,0;0,0;1,0
2021-05-18;55,6;55,95;54,68;54,95;54,7127784493;34702136,0;0,0;1,0
2021-05-17;58,13;58,27;55,11;55,455;55,2155983423;31534575,0;0,0;1,0
2021-05-14;57,85;58,88;57,38;58,68;58,4266758764;15864441,0;0,0;1,0
2021-05-13;56,39;58,055;56,39;57,39;57,1422448627;15645052,0;0,0;1,0
