date;1. open;2. high;3. low;4. close;5. adjusted close;6. volume;7. dividend amount;8. split coefficient
2021-09-27;321,55;322,535;313,56;316,0;316,0;1811748,0;0,0;1,0
2021-09-24;324,94;326,12;322,23;324,5;324,5;1411726,0;0,0;1,0
2021-09-23;325,15;327,085;323,22;325,03;325,03;2262677,0;0,0;1,0
2021-09-22;325,9;326,22;323,18;324,13;324,13;1796941,0;0,0;1,0
2021-09-21;325,0;327,4299;323,95;324,7;324,7;1874881,0;0,0;1,0
2021-09-20;320,01;325,69;320,01;324,11;324,11;3170763,0;0,0;1,0
2021-09-17;324,84;329,18;321,82;324,53;324,53;3459801,0;0,0;1,0
2021-09-16;325,86;326,71;321,61;324,0;324,0;1794074,0;0,0;1,0
2021-09-15;322,8;328,49;317,3597;325,26;325,26;2353290,0;0,0;1,0
2021-09-14;323,87;326,94;322,14;324,09;324,09;1888372,0;0,0;1,0
2021-09-13;331,0;331,505;316,35;321,45;321,45;2032358,0;0,0;1,0
2021-09-10;330,78;333,96;329,87;329,99;329,99;2444061,0;0,0;1,0
2021-09-09;330,5;332,25;327,61;328,38;328,38;1483068,0;0,0;1,0
2021-09-08;329,29;331,98;327,65;330,51;330,51;1811788,0;0,0;1,0
2021-09-07;330,65;331,9;327,21;330,0;330,0;1930558,0;0,0;1,0
2021-09-03;330,27;333,29;328,6147;332,43;332,43;1333823,0;0,0;1,0
2021-09-02;329,5;332,99;328,36;331,43;331,43;2274229,0;0,0;1,0
2021-09-01;323,59;328,115;321,04;327,6;327,6;2187470,0;0,0;1,0
2021-08-31;328,27;329,47;322,11;324,16;324,16;2410243,0;0,0;1,0
2021-08-30;320,88;327,44;320,53;327,01;327,01;1711260,0;0,0;1,0
2021-08-27;319,06;321,79;317,58;319,1;319,1;1316351,0;0,0;1,0
2021-08-26;320,0;320,98;316,55;318,34;318,34;1286246,0;0,0;1,0
2021-08-25;319,765;321,58;318,57;319,48;319,48;1342816,0;0,0;1,0
2021-08-24;318,92;322,285;318,17;320,65;320,65;1756151,0;0,0;1,0
2021-08-23;321,68;322,66;318,49;318,62;318,62;2740674,0;0,0;1,0
2021-08-20;321,32;323,2;319,45;321,54;321,54;3295809,0;0,0;1,0
2021-08-19;313,05;320,76;312,5351;319,79;319,79;3226428,0;0,0;1,0
2021-08-18;321,15;323,42;314,72;314,97;314,97;3323483,0;0,0;1,0
2021-08-17;319,26;321,31;318,03;320,95;320,95;1758354,0;0,0;1,0
2021-08-16;315,0;319,11;314,1;318,8;318,8;1621047,0;0,0;1,0
2021-08-13;315,84;315,84;312,73;315,26;315,26;1371874,0;0,0;1,0
2021-08-12;309,85;314,59;309,38;313,77;313,77;1937844,0;0,0;1,0
2021-08-11;309,29;312,68;307,8;310,57;310,57;2123690,0;0,0;1,0
2021-08-10;308,52;312,7;307,87;308,88;308,88;1553861,0;0,0;1,0
2021-08-09;307,62;309,14;305,8;307,97;307,97;1540522,0;0,0;1,0
2021-08-06;307,41;307,935;303,74;307,28;307,28;1661411,0;0,0;1,0
2021-08-05;306,06;308,39;304,645;307,14;307,14;1406848,0;0,0;1,0
2021-08-04;302,51;307,1;302,51;305,62;305,62;1585331,0;0,0;1,0
2021-08-03;297,8;302,69;297,21;302,33;302,33;1953405,0;0,0;1,0
2021-08-02;299,17;300,0;295,01;297,04;297,04;1195253,0;0,0;1,0
2021-07-30;297,16;299,73;296,04;297,49;297,49;2229985,0;0,0;1,0
2021-07-29;293,37;298,69;293,01;297,63;297,63;1776822,0;0,0;1,0
2021-07-28;289,28;293,94;289,28;292,88;292,88;2148363,0;0,0;1,0
2021-07-27;291,0;292,25;289,065;290,6;290,6;1731994,0;0,0;1,0
2021-07-26;291,0;293,13;287,2826;290,18;290,18;2018124,0;0,0;1,0
2021-07-23;290,09;292,37;288,19;291,27;291,27;2076219,0;0,0;1,0
2021-07-22;283,65;290,24;282,13;288,96;288,96;2448315,0;0,0;1,0
2021-07-21;283,03;283,535;273,06;279,8;279,8;2748084,0;0,0;1,0
2021-07-20;283,67;287,0;281,78;283,6;283,6;2423449,0;0,0;1,0
