date;1. open;2. high;3. low;4. close;5. adjusted close;6. volume;7. dividend amount;8. split coefficient
2021-09-27;53,94;54,87;53,82;54,66;54,66;13899911,0;0,0;1,0
2021-09-24;53,775;54,423;53,73;54,22;54,22;12976200,0;0,0;1,0
2021-09-23;53,75;54,3;53,6;54,03;54,03;16474334,0;0,0;1,0
2021-09-22;53,4;53,87;53,0;53,5;53,5;18594117,0;0,0;1,0
2021-09-21;53,2;53,45;52,83;52,87;52,87;17968925,0;0,0;1,0
2021-09-20;53,2135;53,5;52,32;52,98;52,98;35051904,0;0,0;1,0
2021-09-17;54,59;54,59;53,665;54,26;54,26;35359233,0;0,0;1,0
2021-09-16;54,86;54,95;54,24;54,83;54,83;19863089,0;0,0;1,0
2021-09-15;54,67;55,15;54,42;55,12;55,12;18796181,0;0,0;1,0
2021-09-14;55,37;55,44;54,27;54,52;54,52;22072717,0;0,0;1,0
2021-09-13;54,61;55,485;54,41;54,99;54,99;22639242,0;0,0;1,0
2021-09-10;53,85;54,98;53,81;53,84;53,84;20324696,0;0,0;1,0
2021-09-09;53,66;53,89;53,34;53,4;53,4;13495797,0;0,0;1,0
2021-09-08;53,73;53,92;52,99;53,57;53,57;18235078,0;0,0;1,0
2021-09-07;53,57;53,95;53,44;53,65;53,65;13914972,0;0,0;1,0
2021-09-03;53,44;54,08;53,3193;53,51;53,51;13472750,0;0,0;1,0
2021-09-02;53,8;53,89;53,35;53,73;53,73;15880063,0;0,0;1,0
2021-09-01;54,11;54,155;53,53;53,67;53,67;18615029,0;0,0;1,0
2021-08-31;54,44;54,5;53,66;54,06;54,06;22350100,0;0,0;1,0
2021-08-30;54,26;54,87;53,76;53,94;53,94;14581326,0;0,0;1,0
2021-08-27;53,36;53,94;52,92;53,89;53,89;16524991,0;0,0;1,0
2021-08-26;53,745;53,745;52,9729;53,13;53,13;19569984,0;0,0;1,0
2021-08-25;54,08;54,23;53,731;53,81;53,81;15048388,0;0,0;1,0
2021-08-24;53,555;53,97;53,31;53,81;53,81;20348797,0;0,0;1,0
2021-08-23;52,59;53,535;52,48;53,23;53,23;23976255,0;0,0;1,0
2021-08-20;52,16;52,38;51,42;52,01;52,01;25728334,0;0,0;1,0
2021-08-19;52,0544;52,67;51,58;52,44;52,44;22999394,0;0,0;1,0
2021-08-18;52,6;53,03;52,11;52,19;52,19;15061736,0;0,0;1,0
2021-08-17;53,17;53,1784;52,22;52,69;52,69;22014903,0;0,0;1,0
2021-08-16;53,23;53,49;53,0;53,47;53,47;17692907,0;0,0;1,0
2021-08-13;53,5;53,555;53,055;53,49;53,49;15216730,0;0,0;1,0
2021-08-12;54,17;54,18;53,255;53,54;53,54;15073693,0;0,0;1,0
2021-08-11;54,26;54,36;53,84;54,14;54,14;18590798,0;0,0;1,0
2021-08-10;54,24;54,385;53,51;53,94;53,94;16215714,0;0,0;1,0
2021-08-09;54,08;54,41;53,83;54,05;54,05;14670135,0;0,0;1,0
2021-08-06;53,86;54,13;53,73;53,92;53,92;19256023,0;0,0;1,0
2021-08-05;53,99;54,02;53,58;53,89;53,89;15310009,0;0,3475;1,0
2021-08-04;54,25;54,44;53,7;53,9;53,5546623646;17612708,0;0,0;1,0
2021-08-03;53,89;54,16;53,26;54,06;53,7136372436;16375928,0;0,0;1,0
2021-08-02;53,99;54,47;53,535;53,68;53,336071906;18098082,0;0,0;1,0
2021-07-30;53,65;53,9;53,25;53,72;53,3758156257;16465689,0;0,0;1,0
2021-07-29;53,48;54,1;53,32;53,7;53,3559437658;16776979,0;0,0;1,0
2021-07-28;53,03;53,92;52,94;53,07;52,7299801798;28478845,0;0,0;1,0
2021-07-27;53,12;53,2;52,31;53,18;52,8392754091;39878025,0;0,0;1,0
2021-07-26;52,81;54,54;52,76;54,31;53,962035492;32881174,0;0,0;1,0
2021-07-23;54,58;54,71;52,32;53,0;52,6604286702;67742254,0;0,0;1,0
2021-07-22;56,06;56,54;55,68;55,96;55,6014639318;36690982,0;0,0;1,0
2021-07-21;55,18;56,28;55,01;56,23;55,8697340401;18497169,0;0,0;1,0
2021-07-20;54,915;55,56;54,2684;55,24;54,8860769763;19866965,0;0,0;1,0
2021-07-19;54,41;54,805;53,97;54,64;54,28992118;27007665,0;0,0;1,0
2021-07-16;56,05;56,9295;54,9;54,97;54,6178068679;25263792,0;0,0;1,0
2021-07-15;56,4;56,4;55,57;55,81;55,4524249827;18917047,0;0,0;1,0
2021-07-14;57,17;57,455;56,3339;56,52;56,1578760083;16263611,0;0,0;1,0
2021-07-13;56,62;57,3;56,34;56,87;56,5056335561;15715983,0;0,0;1,0
2021-07-12;56,26;56,755;56,11;56,73;56,366530537;15392759,0;0,0;1,0
2021-07-09;55,51;56,105;55,31;55,99;55,6312717216;18708003,0;0,0;1,0
2021-07-08;55,31;55,72;54,7901;55,39;55,0351159253;19161963,0;0,0;1,0
2021-07-07;56,37;56,45;55,705;55,96;55,6014639318;14857388,0;0,0;1,0
2021-07-06;56,92;57,01;55,7;56,09;55,730631021;26186595,0;0,0;1,0
2021-07-02;56,55;56,99;56,32;56,76;56,3963383268;17223577,0;0,0;1,0
2021-07-01;56,13;56,64;55,87;56,01;55,6511435815;24871591,0;0,0;1,0
2021-06-30;56,34;56,375;55,39;56,14;55,7803106707;29891584,0;0,0;1,0
2021-06-29;57,55;57,83;55,88;56,75;56,3864023969;26359992,0;0,0;1,0
2021-06-28;56,36;57,725;56,34;57,48;57,1117252823;22480879,0;0,0;1,0
2021-06-25;56,02;56,405;55,745;55,91;55,5517842821;21101239,0;0,0;1,0
2021-06-24;55,49;56,1;55,34;56,07;55,7107591611;21209732,0;0,0;1,0
2021-06-23;55,87;55,974;55,23;55,26;54,9059488361;20287879,0;0,0;1,0
2021-06-22;55,94;56,2799;55,5049;55,87;55,5120405623;18682808,0;0,0;1,0
2021-06-21;55,75;56,04;55,37;55,87;55,5120405623;19254640,0;0,0;1,0
2021-06-18;56,68;56,75;55,1;55,67;55,3133219636;55118305,0;0,0;1,0
2021-06-17;57,05;57,9;56,7;57,18;56,8136473842;21498755,0;0,0;1,0
2021-06-16;58,15;58,37;56,765;57,22;56,8533911039;21513591,0;0,0;1,0
2021-06-15;58,21;58,415;57,8001;57,99;57,6184577091;20806538,0;0,0;1,0
2021-06-14;58,02;58,2;57,23;58,19;57,8171763079;21784523,0;0,0;1,0
2021-06-11;57,47;57,94;56,95;57,85;57,47935469;18119736,0;0,0;1,0
2021-06-10;57,15;58,03;56,925;57,38;57,0123659829;26738082,0;0,0;1,0
2021-06-09;57,36;57,475;56,97;57,0;56,6348006453;13904793,0;0,0;1,0
2021-06-08;57,45;57,64;56,6;57,0;56,6348006453;33254482,0;0,0;1,0
2021-06-07;57,41;57,44;56,775;57,09;56,7242240147;17364399,0;0,0;1,0
2021-06-04;56,55;57,75;56,54;57,37;57,002430053;21493760,0;0,0;1,0
2021-06-03;56,98;57,1;56,085;56,24;55,87966997;21831303,0;0,0;1,0
2021-06-02;56,91;57,69;56,755;57,48;57,1117252823;18483588,0;0,0;1,0
2021-06-01;57,61;57,82;56,59;56,89;56,525505416;20326366,0;0,0;1,0
2021-05-28;57,55;57,65;56,94;57,12;56,7540318046;20309599,0;0,0;1,0
2021-05-27;57,11;57,88;57,0;57,73;57,3601235308;32387637,0;0,0;1,0
2021-05-26;57,05;57,23;56,585;56,92;56,5553132058;15173599,0;0,0;1,0
2021-05-25;57,56;57,56;56,42;56,87;56,5056335561;22309872,0;0,0;1,0
2021-05-24;56,648;57,39;56,4;56,96;56,5950569256;19164350,0;0,0;1,0
2021-05-21;56,42;56,71;55,9801;56,08;55,720695091;17723087,0;0,0;1,0
