date;1. open;2. high;3. low;4. close;5. adjusted close;6. volume;7. dividend amount;8. split coefficient
2021-09-27;163,87;166,13;162,4467;166,08;166,08;1244370,0;0,0;1,0
2021-09-24;164,13;165,689;163,55;165,3;165,3;950853,0;0,0;1,0
2021-09-23;161,185;165,77;161,185;165,17;165,17;1581467,0;0,0;1,0
2021-09-22;158,92;161,89;157,92;161,49;161,49;1508271,0;0,0;1,0
2021-09-21;157,48;158,485;155,08;157,29;157,29;2545671,0;0,0;1,0
2021-09-20;158,21;158,38;154,31;156,51;156,51;2958925,0;0,0;1,0
2021-09-17;162,61;163,0;159,34;161,1;161,1;5488114,0;0,0;1,0
2021-09-16;160,4842;164,19;160,23;163,11;163,11;1693164,0;0,0;1,0
2021-09-15;160,75;162,24;159,33;162,19;162,19;1717326,0;0,0;1,0
2021-09-14;161,56;162,33;159,04;160,65;160,65;1792195,0;0,0;1,0
2021-09-13;159,75;160,76;157,66;160,7;160,7;1848735,0;0,0;1,0
2021-09-10;157,28;160,75;157,28;157,48;157,48;1918233,0;0,0;1,0
2021-09-09;154,55;156,81;153,62;155,97;155,97;1530494,0;0,0;1,0
2021-09-08;155,66;155,99;152,99;154,29;154,29;1185408,0;0,0;1,0
2021-09-07;157,31;157,31;155,43;156,03;156,03;1255078,0;0,0;1,0
2021-09-03;156,13;158,1;155,78;156,83;156,83;1038770,0;0,0;1,0
2021-09-02;155,63;156,59;155,14;156,27;156,27;1829762,0;0,0;1,0
2021-09-01;158,65;158,68;155,03;155,61;155,61;1943755,0;0,0;1,0
2021-08-31;159,07;159,075;155,0;157,36;157,36;2189171,0;0,0;1,0
2021-08-30;159,74;160,18;158,0;159,01;159,01;1443290,0;0,0;1,0
2021-08-27;156,25;160,36;155,78;159,38;159,38;2030280,0;0,0;1,0
2021-08-26;151,0;156,32;150,47;155,94;155,94;2584565,0;0,0;1,0
2021-08-25;150,89;152,5;149,35;151,45;151,45;2883446,0;0,0;1,0
2021-08-24;148,52;150,095;147,79;148,05;148,05;1146211,0;0,0;1,0
2021-08-23;146,01;148,36;145,65;147,88;147,88;2443639,0;0,0;1,0
2021-08-20;144,39;146,12;142,94;144,84;144,84;2656823,0;0,0;1,0
2021-08-19;142,32;144,79;140,98;144,25;144,25;1893777,0;0,437;1,0
2021-08-18;144,73;146,71;143,45;143,67;143,236071658;1494753,0;0,0;1,0
2021-08-17;148,35;148,51;144,29;145,69;145,249970626;2028161,0;0,0;1,0
2021-08-16;151,5;152,55;149,905;150,41;149,95571475;1498492,0;0,0;1,0
2021-08-13;150,7;152,05;149,97;151,57;151,112211187;1160283,0;0,0;1,0
2021-08-12;149,8;151,9;147,02;151,15;150,693479718;3482658,0;0,0;1,0
2021-08-11;151,5;151,5;147,71;150,47;150,015533531;1028141,0;0,0;1,0
2021-08-10;149,82;151,02;147,53;150,5;150,045442922;1710380,0;0,0;1,0
2021-08-09;150,51;150,51;147,89;149,5;149,048463234;1457502,0;0,0;1,0
2021-08-06;148,89;150,15;148,29;149,73;149,277768562;1517757,0;0,0;1,0
2021-08-05;148,0;149,79;146,54;149,78;149,327617547;1656760,0;0,0;1,0
2021-08-04;147,91;151,34;147,31;147,51;147,064473657;3018971,0;0,0;1,0
2021-08-03;145,72;147,52;142,97;146,82;146,376557673;2251033,0;0,0;1,0
2021-08-02;147,22;151,625;144,79;144,99;144,552084845;3647568,0;0,0;1,0
2021-07-30;139,76;143,21;139,71;143,12;142,68773283;1721059,0;0,0;1,0
2021-07-29;140,0;141,255;138,67;141,03;140,604045284;1245091,0;0,0;1,0
2021-07-28;136,85;138,77;136,11;137,88;137,463559269;1755540,0;0,0;1,0
2021-07-27;138,55;138,96;132,75;135,95;135,539388473;2031780,0;0,0;1,0
2021-07-26;138,39;139,95;138,04;139,39;138,968998597;1154853,0;0,0;1,0
2021-07-23;139,84;140,1399;137,38;139,22;138,79951205;1037020,0;0,0;1,0
2021-07-22;138,54;138,9;137,29;138,38;137,962049113;2458760,0;0,0;1,0
2021-07-21;137,71;140,7;137,01;140,66;140,2351628;1786512,0;0,0;1,0
2021-07-20;132,34;138,31;131,83;137,03;136,616126535;3218904,0;0,0;1,0
2021-07-19;131,69;132,0;129,06;131,98;131,581379115;4286256,0;0,0;1,0
2021-07-16;138,1;139,2;133,47;133,76;133,356002958;1817977,0;0,0;1,0
2021-07-15;141,34;141,71;135,98;137,45;137,034858004;2883625,0;0,0;1,0
2021-07-14;145,11;146,78;143,25;143,54;143,106464299;2024568,0;0,0;1,0
2021-07-13;145,15;145,8;143,78;143,93;143,495286377;1439155,0;0,0;1,0
2021-07-12;143,68;146,27;143,37;146,19;145,74846047;1404151,0;0,0;1,0
2021-07-09;141,68;144,5;140,3;144,02;143,585014549;1642574,0;0,0;1,0
2021-07-08;141,01;142,225;138,31;141,02;140,594075487;1743387,0;0,0;1,0
2021-07-07;147,38;147,47;141,9;143,51;143,076554908;1860878,0;0,0;1,0
2021-07-06;147,3269;148,03;143,6;146,13;145,688641689;2005836,0;0,0;1,0
2021-07-02;148,86;149,05;146,7401;148,25;147,802238625;1501196,0;0,0;1,0
2021-07-01;149,85;150,88;147,47;147,7;147,253899797;1489607,0;0,0;1,0
2021-06-30;152,59;152,735;148,99;149,74;149,287738359;2067756,0;0,0;1,0
2021-06-29;152,02;153,2;150,71;152,82;152,358435796;1087344,0;0,0;1,0
2021-06-28;150,08;153,35;149,78;152,32;151,859945952;1880086,0;0,0;1,0
2021-06-25;149,83;151,25;147,99;148,77;148,320668063;2248322,0;0,0;1,0
2021-06-24;147,85;149,92;147,35;149,12;148,669610953;1985509,0;0,0;1,0
2021-06-23;145,68;147,64;145,47;146,46;146,017644985;945460,0;0,0;1,0
2021-06-22;147,7;147,72;145,72;145,88;145,439396767;2316645,0;0,0;1,0
2021-06-21;146,61;148,27;145,435;147,75;147,303748782;1688856,0;0,0;1,0
2021-06-18;148,945;149,32;144,07;145,62;145,180182048;3869229,0;0,0;1,0
2021-06-17;151,38;152,85;148,46;150,23;149,776258406;2262265,0;0,0;1,0
2021-06-16;154,64;155,74;150,75;152,39;151,92973453;1624136,0;0,0;1,0
2021-06-15;155,48;156,47;153,46;153,95;153,485022842;1134209,0;0,0;1,0
2021-06-14;154,52;155,89;152,26;155,76;155,289556076;1454534,0;0,0;1,0
2021-06-11;154,17;154,21;152,65;154,09;153,624599999;714067,0;0,0;1,0
2021-06-10;152,43;154,54;151,42;153,44;152,976563202;1182504,0;0,0;1,0
2021-06-09;153,28;153,97;151,47;151,81;151,351486312;1020762,0;0,0;1,0
2021-06-08;155,91;156,05;151,21;152,61;152,149070062;881819,0;0,0;1,0
2021-06-07;154,5;155,39;153,03;153,57;153,106170561;1085265,0;0,0;1,0
2021-06-04;153,37;155,61;152,6849;155,38;154,910703795;1434212,0;0,0;1,0
2021-06-03;153,01;153,72;150,765;151,71;151,251788343;1863102,0;0,0;1,0
2021-06-02;154,54;156,37;153,68;155,49;155,020371561;1402551,0;0,0;1,0
2021-06-01;158,0;159,68;155,21;155,32;154,850885014;1316980,0;0,0;1,0
2021-05-28;156,23;157,65;155,32;156,95;156,475961904;1162013,0;0,0;1,0
2021-05-27;155,25;157,31;154,44;155,75;155,279586279;1676855,0;0,0;1,0
2021-05-26;154,76;156,25;153,38;155,54;155,070220545;1891323,0;0,0;1,0
2021-05-25;155,49;156,126;152,41;154,75;154,282606592;1343379,0;0,0;1,0
2021-05-24;151,15;154,87;151,15;154,1;153,634569795;1408098,0;0,0;1,0
2021-05-21;150,2091;151,88;148,59;149,81;149,357526937;1692656,0;0,0;1,0
2021-05-20;147,55;151,95;147,55;151,15;150,693479718;1953147,0;0,413;1,0
2021-05-19;139,85;147,56;139,36;146,99;146,14671512;2003722,0;0,0;1,0
2021-05-18;142,54;145,7399;142,28;142,43;141,612875941;1375814,0;0,0;1,0
2021-05-17;143,7;144,52;140,8;143,52;142,696622587;1113053,0;0,0;1,0
2021-05-14;144,2;147,06;142,39;145,47;144,635435394;1881810,0;0,0;1,0
2021-05-13;141,12;143,93;139,71;142,12;141,304654418;1900624,0;0,0;1,0
2021-05-12;141,95;143,08;138,54;139,14;138,341750744;2529668,0;0,0;1,0
2021-05-11;140,21;145,85;138,62;145,51;144,675205913;2189759,0;0,0;1,0
2021-05-10;148,76;149,12;143,2;143,31;142,487827362;2217917,0;0,0;1,0
2021-05-07;152,4172;152,4172;148,08;149,75;148,890880939;2442420,0;0,0;1,0
2021-05-06;145,38;146,75;143,32;146,51;145,669468891;2541670,0;0,0;1,0
2021-05-05;147,1;149,2707;144,21;145,64;144,8044601;2080719,0;0,0;1,0
2021-05-04;146,59;146,74;143,21;144,88;144,048820237;2884556,0;0,0;1,0
2021-05-03;152,45;152,82;147,321;148,13;147,280174915;1612157,0;0,0;1,0
2021-04-30;153,46;154,88;149,56;150,29;149,427782947;2005327,0;0,0;1,0
2021-04-29;156,08;156,86;153,57;155,91;155,015540883;1008386,0;0,0;1,0
2021-04-28;156,68;156,76;154,02;154,62;153,732941642;1483923,0;0,0;1,0
2021-04-27;159,4;161,415;157,3;157,49;156,586476388;1842628,0;0,0;1,0
2021-04-26;156,18;159,96;155,72;159,16;158,246895561;1920279,0;0,0;1,0
2021-04-23;152,97;157,22;152,76;156,38;155,482844483;2316176,0;0,0;1,0
2021-04-22;154,3;155,15;150,47;151,37;150,501586964;1653933,0;0,0;1,0
2021-04-21;149,38;154,94;147,9012;154,65;153,762769531;1880919,0;0,0;1,0
2021-04-20;152,75;153,49;148,6851;149,73;148,87099568;1684538,0;0,0;1,0
2021-04-19;157,7;158,06;152,7;154,03;153,146326485;1473045,0;0,0;1,0
2021-04-16;160,08;160,59;158,11;158,29;157,381886771;1252266,0;0,0;1,0
2021-04-15;158,79;160,82;157,16;160,42;159,499666913;1366528,0;0,0;1,0
2021-04-14;156,51;159,48;155,4;156,32;155,423188704;1083729,0;0,0;1,0
2021-04-13;159,7;160,56;154,29;157,36;156,457222201;1521003,0;0,0;1,0
2021-04-12;160,3505;160,73;157,04;158,77;157,859133;1362291,0;0,0;1,0
2021-04-09;160,73;162,51;159,9336;161,73;160,802151415;1329576,0;0,0;1,0
2021-04-08;161,31;161,9;158,73;161,79;160,861807193;1463045,0;0,0;1,0
2021-04-07;161,2;161,95;158,86;159,71;158,793740199;1124471,0;0,0;1,0
2021-04-06;162,44;164,28;160,08;160,74;159,817831066;1421994,0;0,0;1,0
2021-04-05;163,24;164,48;160,91;163,82;162,880161038;2099093,0;0,0;1,0
2021-04-01;157,5;160,38;156,8;160,17;159,251101169;2070317,0;0,0;1,0
2021-03-31;152,2;156,22;151,64;155,22;154,329499428;2051678,0;0,0;1,0
2021-03-30;150,12;151,28;148,6745;150,11;149,248815611;1397112,0;0,0;1,0
2021-03-29;153,13;154,27;148,81;150,85;149,984570215;1712656,0;0,0;1,0
2021-03-26;146,71;155,71;146,27;155,42;154,528352024;2171506,0;0,0;1,0
2021-03-25;144,42;148,2;142,31;147,16;146,315739827;1729697,0;0,0;1,0
2021-03-24;152,65;153,08;146,69;146,76;145,918034635;1754670,0;0,0;1,0
2021-03-23;158,24;158,24;148,43;149,98;149,119561424;2466761,0;0,0;1,0
2021-03-22;152,88;156,57;152,64;154,86;153,971564756;2408284,0;0,0;1,0
2021-03-19;146,0;152,29;143,25;150,06;149,199102463;5218593,0;0,0;1,0
2021-03-18;149,6;151,59;145,26;145,49;144,655320654;2060507,0;0,0;1,0
2021-03-17;147,62;154,32;146,68;153,82;152,937531259;1791592,0;0,0;1,0
2021-03-16;150,78;153,52;148,6;149,9;149,040020386;2188231,0;0,0;1,0
2021-03-15;146,37;149,91;146,05;149,56;148,701970974;1639746,0;0,0;1,0
2021-03-12;144,91;147,82;143,73;147,45;146,60407609;1481110,0;0,0;1,0
2021-03-11;145,85;149,45;145,0;148,21;147,359715953;2758458,0;0,0;1,0
2021-03-10;148,38;148,395;141,27;141,32;140,509244036;1965051,0;0,0;1,0
2021-03-09;142,03;146,68;141,07;145,46;144,625492764;2450126,0;0,0;1,0
2021-03-08;144,34;146,44;136,5;136,75;135,965462227;2285239,0;0,0;1,0
2021-03-05;144,04;145,96;135,5244;145,44;144,605607505;3321918,0;0,0;1,0
2021-03-04;148,17;149,21;138,7;140,09;139,286300573;2549097,0;0,0;1,0
2021-03-03;151,4;154,04;147,63;148,37;147,51879803;2821676,0;0,0;1,0
2021-03-02;156,05;157,57;151,88;152,09;151,217456308;1659228,0;0,0;1,0
2021-03-01;154,99;158,36;153,64;158,1;157,192976805;2020735,0;0,0;1,0
2021-02-26;150,24;154,71;146,43;152,63;151,754358316;3107193,0;0,0;1,0
2021-02-25;155,58;156,43;146,73;147,72;146,872527094;2457794,0;0,0;1,0
2021-02-24;152,55;157,75;151,835;157,25;156,347853274;2748130,0;0,0;1,0
2021-02-23;153,0;156,15;147,2;154,93;154,041163165;2354958,0;0,0;1,0
2021-02-22;159,2;161,07;154,52;155,19;154,299671539;1969756,0;0,0;1,0
2021-02-19;158,94;162,9;158,1;162,35;161,418594461;1775850,0;0,39;1,0
2021-02-18;159,98;160,93;154,92;156,54;155,268936813;2696014,0;0,0;1,0
2021-02-17;166,61;166,67;160,99;163,05;161,726077343;4516486,0;0,0;1,0
2021-02-16;160,81;162,8746;159,8358;162,24;160,922654328;2176880,0;0,0;1,0
2021-02-12;156,57;159,9;155,8;159,55;158,254496413;1694734,0;0,0;1,0
2021-02-11;152,52;157,78;151,64;157,63;156,350086302;1914686,0;0,0;1,0
2021-02-10;152,44;154,52;149,44;151,64;150,40872351;1857089,0;0,0;1,0
2021-02-09;151,8;153,69;150,67;152,05;150,815394419;2558278,0;0,0;1,0
2021-02-08;146,34;152,69;146,34;152,47;151,231984131;2477652,0;0,0;1,0
2021-02-05;146,5;147,0;140,25;145,44;144,259065862;2979970,0;0,0;1,0
2021-02-04;140,31;145,84;138,63;143,74;142,57286941;4163882,0;0,0;1,0
2021-02-03;142,82;144,47;139,62;139,87;138,734292781;2480402,0;0,0;1,0
2021-02-02;144,74;146,88;141,9;143,92;142,751407858;1587059,0;0,0;1,0
2021-02-01;139,7;142,72;137,62;142,25;141,094967814;1982966,0;0,0;1,0
2021-01-29;137,32;138,6;134,39;136,11;135,004822982;1737627,0;0,0;1,0
2021-01-28;136,875;140,415;135,02;138,65;137,524198857;3000232,0;0,0;1,0
