date;1. open;2. high;3. low;4. close;5. adjusted close;6. volume;7. dividend amount;8. split coefficient
2021-09-27;81,53;84,16;80,65;83,99;83,99;3838142,0;0,0;1,0
2021-09-24;80,37;81,49;79,67;81,34;81,34;3191511,0;0,0;1,0
2021-09-23;81,75;82,06;80,83;81,59;81,59;2109647,0;0,0;1,0
2021-09-22;80,5;82,26;80,5;81,33;81,33;3181394,0;0,0;1,0
2021-09-21;79,97;80,58;79,15;79,95;79,95;2399899,0;0,0;1,0
2021-09-20;80,41;82,68;78,86;80,06;80,06;3420321,0;0,0;1,0
2021-09-17;83,81;83,93;81,5;82,88;82,88;3903715,0;0,0;1,0
2021-09-16;84,06;85,11;83,15;84,34;84,34;5001975,0;0,0;1,0
2021-09-15;83,0;85,48;82,54;84,96;84,96;5132230,0;0,0;1,0
2021-09-14;86,24;86,69;84,41;84,52;84,52;5382454,0;0,0;1,0
2021-09-13;87,5222;89,71;86,62;88,18;88,18;3551775,0;0,2375;1,0
2021-09-10;88,64;90,72;87,1;88,45;88,2124127011;5137415,0;0,0;1,0
2021-09-09;85,33;89,99;84,5;88,91;88,671177086;6814615,0;0,0;1,0
2021-09-08;92,79;93,8;89,96;90,78;90,5361540419;4485739,0;0,0;1,0
2021-09-07;96,31;97,59;95,35;95,73;95,4728577487;3683268,0;0,0;1,0
2021-09-03;94,0;94,348;91,98;92,99;92,7402177171;3504727,0;0,0;1,0
2021-09-02;95,0;96,4698;94,35;94,91;94,655060367;2930000,0;0,0;1,0
2021-09-01;97,42;99,4;96,345;96,9;96,6397149885;3943608,0;0,0;1,0
2021-08-31;93,62;97,65;92,5;97,42;97,1583182062;5775692,0;0,0;1,0
2021-08-30;84,59;90,06;84,5648;89,62;89,3792699409;6454348,0;0,0;1,0
2021-08-27;92,0;94,39;92,0;92,76;92,5108355246;2508161,0;0,0;1,0
2021-08-26;91,52;91,7;90,37;91,26;91,0148647044;1948461,0;0,0;1,0
2021-08-25;90,65;92,14;89,62;91,95;91,7030112817;3444839,0;0,0;1,0
2021-08-24;89,57;93,13;89,28;92,65;92,4011309978;6290376,0;0,0;1,0
2021-08-23;82,47;85,77;82,15;85,02;84,7916260921;3628232,0;0,0;1,0
2021-08-20;78,97;81,73;78,67;80,63;80,4134181582;6359496,0;0,0;1,0
2021-08-19;80,74;81,23;77,975;78,92;78,7080114231;5844992,0;0,0;1,0
2021-08-18;83,37;84,57;82,285;83,76;83,5350106031;3935824,0;0,0;1,0
2021-08-17;82,44;85,15;81,57;83,76;83,5350106031;4841821,0;0,0;1,0
2021-08-16;86,89;86,89;84,19;85,34;85,1107665338;3868526,0;0,0;1,0
2021-08-13;90,725;91,87;89,25;89,66;89,4191624961;2204547,0;0,0;1,0
2021-08-12;90,86;92,18;90,12;92,0;91,7528769757;2268214,0;0,0;1,0
2021-08-11;92,93;93,12;90,99;93,0;92,7501908559;2432572,0;0,0;1,0
2021-08-10;92,53;93,9026;90,13;91,35;91,1046229536;2206089,0;0,0;1,0
2021-08-09;88,41;93,005;88,1;92,45;92,2016682218;2885358,0;0,0;1,0
2021-08-06;87,6;88,62;86,02;87,0;86,7663075749;2664943,0;0,0;1,0
2021-08-05;89,35;89,35;87,13;87,71;87,4744004298;4628431,0;0,0;1,0
2021-08-04;93,65;95,87;92,22;93,02;92,7701371335;3509214,0;0,0;1,0
2021-08-03;95,8495;96,53;91,92;93,06;92,8100296887;6823186,0;0,0;1,0
2021-08-02;102,87;106,18;102,4;105,04;104,757849973;2238059,0;0,0;1,0
2021-07-30;99,62;103,5;99,36;102,21;101,935451692;2570775,0;0,0;1,0
2021-07-29;101,33;102,45;98,85;100,9;100,628970509;3345474,0;0,0;1,0
2021-07-28;94,94;101,2904;93,71;100,14;99,8710119603;8759314,0;0,0;1,0
2021-07-27;83,58;88,98;82,5;88,32;88,0827618967;10665784,0;0,0;1,0
2021-07-26;96,84;97,67;88,96;89,4;89,1598608873;11486581,0;0,0;1,0
2021-07-23;108,5;108,98;102,92;103,53;103,251906014;6860152,0;0,0;1,0
2021-07-22;113,31;113,38;111,64;112,55;112,247677213;967161,0;0,0;1,0
2021-07-21;112,44;113,17;110,21;113,04;112,736361015;1204850,0;0,0;1,0
2021-07-20;112,66;114,04;111,11;113,22;112,915877513;1253791,0;0,0;1,0
2021-07-19;110,72;112,78;110,01;112,25;111,948483049;1175464,0;0,0;1,0
2021-07-16;114,68;114,77;111,295;112,1;111,798885967;1183505,0;0,0;1,0
2021-07-15;112,48;114,57;112,48;114,41;114,10268103;1746217,0;0,0;1,0
2021-07-14;113,27;114,02;112,555;112,83;112,5269251;1237618,0;0,0;1,0
2021-07-13;110,4;113,62;109,87;112,17;111,868697939;1600053,0;0,0;1,0
2021-07-12;109,05;110,36;108,37;108,93;108,637400967;1215628,0;0,0;1,0
2021-07-09;106,85;108,53;105,4;108,33;108,039012639;2303803,0;0,0;1,0
2021-07-08;105,54;106,13;104,205;105,36;105,076990415;2678668,0;0,0;1,0
2021-07-07;110,76;110,98;106,61;107,41;107,121483869;1764154,0;0,0;1,0
2021-07-06;110,97;111,0;108,56;109,62;109,325547544;2176931,0;0,0;1,0
2021-07-02;113,5;115,14;112,535;113,31;113,005635762;1559724,0;0,0;1,0
2021-07-01;115,0;116,52;113,34;113,71;113,404561314;1609380,0;0,0;1,0
2021-06-30;114,21;115,63;113,715;115,25;114,94042469;2598107,0;0,0;1,0
2021-06-29;111,3;114,82;110,0;114,74;114,431794611;2071938,0;0,0;1,0
2021-06-28;108,22;112,35;108,1;111,3;111,001034863;3215148,0;0,0;1,0
2021-06-25;107,92;108,355;105,29;106,8;106,513122402;2492834,0;0,0;1,0
2021-06-24;107,62;108,67;107,085;107,6;107,310973506;2302691,0;0,0;1,0
2021-06-23;106,26;108,91;106,26;106,53;106,243847655;1928882,0;0,0;1,0
2021-06-22;106,6;108,54;105,85;105,93;105,645459326;1901552,0;0,0;1,0
2021-06-21;107,6;108,82;106,91;107,94;107,650060226;1331862,0;0,0;1,0
2021-06-18;110,63;111,33;106,0;107,41;107,121483869;8191774,0;0,0;1,0
2021-06-17;109,68;111,12;108,89;110,85;110,552243617;1799739,0;0,0;1,0
2021-06-16;109,45;110,06;107,72;108,89;108,597508412;1899823,0;0,0;1,0
2021-06-15;112,88;113,5125;110,48;111,13;110,831491503;1471614,0;0,0;1,0
2021-06-14;113,41;114,41;112,02;114,16;113,85335256;1683729,0;0,0;1,0
2021-06-11;113,3;113,95;112,24;113,09;112,786226709;2140670,0;0,0;1,0
2021-06-10;110,87;113,95;110,36;113,11;112,806172986;2131539,0;0,0;1,0
2021-06-09;113,73;113,73;110,12;110,32;110,02366726;2382471,0;0,0;1,0
