date;1. open;2. high;3. low;4. close;5. adjusted close;6. volume;7. dividend amount;8. split coefficient
2021-09-27;99,83;99,89;98,85;99,08;99,08;719678,0;0,0;1,0
2021-09-24;100,65;101,59;100,39;100,7;100,7;991731,0;0,0;1,0
2021-09-23;102,22;102,53;101,87;102,1;102,1;524031,0;0,0;1,0
2021-09-22;100,94;101,69;100,505;100,87;100,87;587956,0;0,0;1,0
2021-09-21;100,88;102,43;100,88;101,77;101,77;980932,0;0,0;1,0
2021-09-20;98,64;100,51;98,57;99,66;99,66;1104909,0;0,0;1,0
2021-09-17;101,6;102,2906;100,94;101,41;101,41;1508296,0;0,0;1,0
2021-09-16;101,97;102,6;101,65;102,38;102,38;961407,0;0,0;1,0
2021-09-15;101,35;101,398;100,6;101,27;101,27;637065,0;0,0;1,0
2021-09-14;100,02;101,1;99,88;100,03;100,03;966756,0;0,0;1,0
2021-09-13;100,89;101,03;99,25;99,67;99,67;982185,0;0,0;1,0
2021-09-10;99,8;100,29;99,25;99,55;99,55;872239,0;0,0;1,0
2021-09-09;100,54;100,81;99,13;99,29;99,29;1180608,0;0,0;1,0
2021-09-08;100,62;101,26;100,36;100,7;100,7;772178,0;0,0;1,0
2021-09-07;101,58;101,7;101,1;101,37;101,37;682656,0;0,0;1,0
2021-09-03;100,35;101,195;99,88;100,89;100,89;989231,0;0,0;1,0
2021-09-02;101,39;101,75;100,89;101,68;101,68;642453,0;0,0;1,0
2021-09-01;99,93;100,8697;99,83;100,81;100,81;1248680,0;0,0;1,0
2021-08-31;101,7;101,72;99,06;99,97;99,97;2393197,0;0,0;1,0
2021-08-30;101,42;102,91;101,34;102,38;102,38;1268593,0;0,0;1,0
2021-08-27;102,65;103,27;101,72;101,88;101,88;1380165,0;0,0;1,0
2021-08-26;103,83;104,39;103,56;103,57;103,57;705320,0;0,0;1,0
2021-08-25;103,19;103,67;102,73;103,63;103,63;814529,0;0,0;1,0
2021-08-24;104,32;105,15;103,53;103,62;103,62;1413576,0;0,0;1,0
2021-08-23;106,61;106,61;105,76;105,94;105,94;1397065,0;0,0;1,0
2021-08-20;106,02;107,24;105,88;106,62;106,62;932152,0;0,0;1,0
2021-08-19;104,68;106,18;104,6;105,61;105,61;1008472,0;0,0;1,0
2021-08-18;104,97;105,73;104,01;104,01;104,01;1012872,0;0,0;1,0
2021-08-17;104,17;104,96;104,0;104,93;104,93;967790,0;0,0;1,0
2021-08-16;102,6;103,27;102,2701;103,26;103,26;750537,0;0,5571;1,0
2021-08-13;101,99;103,035;101,94;102,76;102,208578385;758266,0;0,0;1,0
2021-08-12;100,83;102,1;100,5;101,77;101,223890835;701159,0;0,0;1,0
2021-08-11;100,22;101,1;100,01;100,73;100,189471591;999663,0;0,0;1,0
2021-08-10;100,09;100,79;99,56;100,11;99,5727985802;1404244,0;0,0;1,0
2021-08-09;100,07;100,96;99,57;100,65;100,10990088;1035374,0;0,0;1,0
2021-08-06;98,47;100,07;98,351;99,48;98,9461792304;1747084,0;0,0;1,0
2021-08-05;101,31;103,21;101,08;103,1;102,546753907;2088660,0;0,0;1,0
2021-08-04;93,59;98,52;93,555;98,21;97,682994192;3153720,0;0,0;1,0
2021-08-03;92,81;93,34;92,637;93,12;92,6203076994;1452122,0;0,0;1,0
2021-08-02;92,19;93,01;91,67;93,0;92,5009516328;761998,0;0,0;1,0
2021-07-30;92,67;92,87;92,29;92,6;92,1030980774;724348,0;0,0;1,0
