date;1. open;2. high;3. low;4. close;5. adjusted close;6. volume;7. dividend amount;8. split coefficient
2021-09-27;43,92;44,13;43,51;43,57;43,57;19955901,0;0,0;1,0
2021-09-24;44,07;44,41;43,81;43,94;43,94;16150746,0;0,0;1,0
2021-09-23;44,28;44,719;44,15;44,19;44,19;19719166,0;0,0;1,0
2021-09-22;43,99;44,39;43,83;43,95;43,95;22616743,0;0,0;1,0
2021-09-21;44,25;44,73;43,85;43,92;43,92;23645594,0;0,0;1,0
2021-09-20;43,39;44,65;43,39;44,2;44,2;41873015,0;0,0;1,0
2021-09-17;44,17;44,46;43,31;43,89;43,89;56420686,0;0,0;1,0
2021-09-16;44,88;44,99;44,03;44,47;44,47;22424169,0;0,0;1,0
2021-09-15;44,56;45,365;44,47;44,77;44,77;28674628,0;0,0;1,0
2021-09-14;44,67;45,26;44,545;44,71;44,71;24100217,0;0,0;1,0
2021-09-13;45,74;45,83;44,2;44,58;44,58;37086226,0;0,0;1,0
2021-09-10;46,27;46,35;45,51;45,59;45,59;20801502,0;0,0;1,0
2021-09-09;46,47;46,7182;45,85;46,03;46,03;21695324,0;0,0;1,0
2021-09-08;46,51;46,79;46,25;46,51;46,51;15839626,0;0,0;1,0
2021-09-07;46,99;47,5;46,54;46,75;46,75;26236854,0;0,0;1,0
2021-09-03;46,9;47,03;46,3431;46,84;46,84;20834762,0;0,0;1,0
2021-09-02;46,48;46,87;46,13;46,84;46,84;26149357,0;0,0;1,0
2021-09-01;46,19;46,2595;45,42;46,04;46,04;32900114,0;0,0;1,0
2021-08-31;46,72;47,14;45,9318;46,07;46,07;34547833,0;0,0;1,0
2021-08-30;46,2;47,16;46,16;46,76;46,76;25774352,0;0,0;1,0
2021-08-27;47,37;47,5;46,53;46,6;46,6;32924523,0;0,0;1,0
2021-08-26;47,7;48,16;47,3;47,38;47,38;29029316,0;0,0;1,0
2021-08-25;48,04;48,28;46,93;47,51;47,51;51036771,0;0,0;1,0
2021-08-24;49,74;50,05;48,24;48,38;48,38;52624054,0;0,0;1,0
2021-08-23;50,29;51,36;49,6;49,93;49,93;88652378,0;0,0;1,0
2021-08-20;48,98;49,73;48,66;48,72;48,72;35157544,0;0,0;1,0
2021-08-19;48,5;49,96;48,26;48,8;48,8;57741571,0;0,0;1,0
2021-08-18;50,23;51,86;49,17;49,31;49,31;88597980,0;0,0;1,0
2021-08-17;48,78;50,49;48,71;50,42;50,42;68816994,0;0,0;1,0
2021-08-16;48,23;48,97;47,51;48,91;48,91;38098084,0;0,0;1,0
2021-08-13;47,41;48,5;47,32;48,48;48,48;35053904,0;0,0;1,0
2021-08-12;46,5;47,4;46,34;47,24;47,24;29710226,0;0,0;1,0
2021-08-11;47,78;48,08;46,26;46,31;46,31;50878190,0;0,0;1,0
2021-08-10;46,2;48,57;45,89;48,19;48,19;81189410,0;0,0;1,0
2021-08-09;45,11;46,03;45,11;45,98;45,98;32374261,0;0,0;1,0
2021-08-06;45,09;45,31;44,63;45,07;45,07;20413038,0;0,0;1,0
2021-08-05;45,0;45,14;44,7;45,06;45,06;23505417,0;0,0;1,0
2021-08-04;45,35;45,8;45,01;45,19;45,19;43391242,0;0,0;1,0
2021-08-03;44,17;45,86;44,07;45,68;45,68;45643262,0;0,0;1,0
2021-08-02;43,3;44,14;43,25;43,96;43,96;43066940,0;0,0;1,0
2021-07-30;42,88;43,185;42,69;42,81;42,81;24763344,0;0,0;1,0
2021-07-29;43,23;43,3;42,6212;42,79;42,79;28969377,0;0,39;1,0
2021-07-28;42,35;43,74;42,25;43,45;43,057561371;53822449,0;0,0;1,0
2021-07-27;41,82;42,2;41,58;42,1;41,719754516;32544072,0;0,0;1,0
2021-07-26;41,62;41,94;41,39;41,81;41,4323737842;23720028,0;0,0;1,0
2021-07-23;41,46;41,83;41,42;41,68;41,3035479389;21609212,0;0,0;1,0
2021-07-22;41,12;41,55;40,9;41,47;41,0954446503;18913310,0;0,0;1,0
2021-07-21;41,24;41,24;40,515;41,02;40,649509032;27530234,0;0,0;1,0
2021-07-20;40,25;41,71;40,2;41,05;40,6792380732;48804134,0;0,0;1,0
2021-07-19;40,07;40,35;39,68;40,15;39,7873668365;29818359,0;0,0;1,0
2021-07-16;40,14;40,35;39,93;40,35;39,9855604447;24270381,0;0,0;1,0
2021-07-15;39,95;40,19;39,86;40,09;39,7279087541;20250796,0;0,0;1,0
2021-07-14;39,72;40,025;39,66;39,95;39,5891732283;15888556,0;0,0;1,0
2021-07-13;39,77;39,8;39,53;39,65;39,2918828161;12222049,0;0,0;1,0
2021-07-12;39,66;40,25;39,6;39,76;39,4008893006;24512950,0;0,0;1,0
2021-07-09;39,53;40,1;39,46;39,61;39,2522440945;21578734,0;0,0;1,0
2021-07-08;39,0;39,32;38,93;39,25;38,8954955998;23021184,0;0,0;1,0
2021-07-07;39,22;39,36;38,965;39,35;38,9945924039;17665154,0;0,0;1,0
2021-07-06;39,48;39,65;39,04;39,29;38,9351343214;18931874,0;0,0;1,0
2021-07-02;39,46;39,83;39,38;39,73;39,3711602594;16595888,0;0,0;1,0
2021-07-01;39,17;39,63;39,11;39,56;39,2026956925;20035910,0;0,0;1,0
2021-06-30;39,14;39,27;38,82;39,16;38,8063084761;21248067,0;0,0;1,0
2021-06-29;39,13;39,285;38,98;39,1;38,7468503937;14516570,0;0,0;1,0
2021-06-28;39,01;39,2099;38,9;39,12;38,7666697545;19225691,0;0,0;1,0
2021-06-25;39,12;39,405;38,89;38,98;38,6279342288;22774347,0;0,0;1,0
2021-06-24;39,14;39,345;39,08;39,19;38,8360375174;13436549,0;0,0;1,0
2021-06-23;39,63;39,66;38,975;39,05;38,6973019917;22025355,0;0,0;1,0
2021-06-22;39,41;39,69;39,26;39,61;39,2522440945;15975947,0;0,0;1,0
2021-06-21;38,88;39,48;38,88;39,42;39,0639601667;19488052,0;0,0;1,0
2021-06-18;39,3;39,44;38,7;38,81;38,4594696619;37775909,0;0,0;1,0
2021-06-17;39,27;39,59;39,07;39,48;39,1234182492;19580121,0;0,0;1,0
2021-06-16;39,62;39,84;39,28;39,3;38,9450440019;18770633,0;0,0;1,0
2021-06-15;39,71;39,84;39,39;39,59;39,2324247337;20206867,0;0,0;1,0
2021-06-14;40,03;40,07;39,38;39,63;39,2720634553;23408340,0;0,0;1,0
2021-06-11;40,66;40,67;39,95;40,15;39,7873668365;21386922,0;0,0;1,0
2021-06-10;39,9;40,72;39,89;40,68;40,3125798981;42613731,0;0,0;1,0
2021-06-09;39,0;39,84;38,98;39,81;39,4504377026;29823964,0;0,0;1,0
2021-06-08;39,07;39,11;38,475;38,85;38,4991083835;18880307,0;0,0;1,0
2021-06-07;39,08;39,6;38,97;38,99;38,6378439092;24110727,0;0,0;1,0
2021-06-04;39,05;39,5;39,015;39,15;38,7963987957;19375318,0;0,0;1,0
2021-06-03;38,76;39,04;38,63;38,97;38,6180245484;17376288,0;0,0;1,0
2021-06-02;38,64;38,93;38,54;38,79;38,4396503011;19629039,0;0,0;1,0
2021-06-01;38,94;39,0;38,48;38,5;38,1522695692;23642432,0;0,0;1,0
2021-05-28;38,75;39,02;38,68;38,73;38,3801922186;16160964,0;0,0;1,0
2021-05-27;38,97;39,18;38,6;38,65;38,3009147754;38471248,0;0,0;1,0
2021-05-26;39,2901;39,3;38,78;38,92;38,5684761464;28036454,0;0,0;1,0
2021-05-25;39,82;39,8564;39,24;39,33;38,9747730431;25916296,0;0,0;1,0
2021-05-24;40,08;40,14;39,775;39,81;39,4504377026;16922321,0;0,0;1,0
2021-05-21;40,21;40,6;39,91;39,95;39,5891732283;21144784,0;0,0;1,0
2021-05-20;39,73;40,25;39,72;40,12;39,7576377953;18621084,0;0,0;1,0
2021-05-19;39,9;39,9;39,43;39,83;39,4702570635;20209530,0;0,0;1,0
2021-05-18;40,18;40,345;39,825;40,05;39,6882700324;15805529,0;0,0;1,0
2021-05-17;40,07;40,4;40,01;40,11;39,7477281149;18095031,0;0,0;1,0
