date;1. open;2. high;3. low;4. close;5. adjusted close;6. volume;7. dividend amount;8. split coefficient
2021-09-27;143,15;143,17;141,52;141,66;141,66;5749826,0;0,0;1,0
2021-09-24;143,8;144,45;143,09;143,55;143,55;5009363,0;0,0;1,0
2021-09-23;144,06;144,685;143,49;144,19;144,19;5171154,0;0,0;1,0
2021-09-22;143,82;144,35;142,86;143,6;143,6;6332653,0;0,0;1,0
2021-09-21;142,98;144,525;142,88;143,11;143,11;6651313,0;0,0;1,0
2021-09-20;144,22;144,85;141,97;142,89;142,89;10238721,0;0,0;1,0
2021-09-17;144,37;146,28;144,23;144,34;144,34;18738769,0;0,0;1,0
2021-09-16;144,84;145,19;142,82;144,11;144,11;6142295,0;0,0;1,0
2021-09-15;145,35;145,77;144,74;145,12;145,12;6237213,0;0,0;1,0
2021-09-14;146,13;146,36;144,95;145,43;145,43;5831807,0;0,0;1,0
2021-09-13;144,85;147,23;144,85;145,68;145,68;9952577,0;0,0;1,0
2021-09-10;144,06;144,46;143,32;144,13;144,13;5750027,0;0,0;1,0
2021-09-09;144,57;144,88;143,65;143,99;143,99;6354834,0;0,0;1,0
2021-09-08;143,08;144,94;143,01;144,6;144,6;6897784,0;0,0;1,0
2021-09-07;144,32;144,5;143,29;143,51;143,51;6520657,0;0,0;1,0
2021-09-03;143,76;144,365;143,52;144,05;144,05;5466418,0;0,0;1,0
2021-09-02;143,97;144,73;143,58;143,95;143,95;5393716,0;0,0;1,0
2021-09-01;142,33;144,185;142,23;143,84;143,84;6214198,0;0,0;1,0
2021-08-31;143,04;143,53;142,05;142,39;142,39;9642489,0;0,0;1,0
2021-08-30;142,6;142,99;142,05;142,93;142,93;3845772,0;0,0;1,0
2021-08-27;142,48;142,77;141,64;142,31;142,31;4741264,0;0,0;1,0
2021-08-26;142,56;142,71;141,47;142,42;142,42;4749426,0;0,0;1,0
2021-08-25;143,07;143,13;142,25;142,67;142,67;3861614,0;0,0;1,0
2021-08-24;144,01;144,15;142,98;143,18;143,18;4560484,0;0,0;1,0
2021-08-23;144,29;145,34;144,23;144,35;144,35;4522261,0;0,0;1,0
2021-08-20;145,25;145,98;144,78;145,09;145,09;5273873,0;0,0;1,0
2021-08-19;143,16;145,28;143,16;144,99;144,99;5787162,0;0,0;1,0
2021-08-18;144,7;144,88;143,18;143,3;143,3;7161992,0;0,0;1,0
2021-08-17;144,4;145,6;143,89;144,88;144,88;7577047,0;0,0;1,0
2021-08-16;143,67;144,69;143,375;144,64;144,64;6041066,0;0,0;1,0
2021-08-13;142,95;143,99;142,69;143,64;143,64;4883895,0;0,0;1,0
2021-08-12;143,15;143,15;142,355;142,95;142,95;4956225,0;0,0;1,0
2021-08-11;142,74;143,24;142,47;142,62;142,62;4205314,0;0,0;1,0
2021-08-10;141,91;142,51;141,66;142,27;142,27;5253709,0;0,0;1,0
2021-08-09;141,95;142,59;141,7;142,18;142,18;4743859,0;0,0;1,0
2021-08-06;143,03;143,12;141,22;141,41;141,41;6030208,0;0,0;1,0
2021-08-05;143,35;143,55;141,47;142,5;142,5;5363444,0;0,0;1,0
2021-08-04;143,04;144,09;142,35;142,43;142,43;6628299,0;0,0;1,0
2021-08-03;141,86;144,21;141,52;143,95;143,95;8456036,0;0,0;1,0
2021-08-02;141,77;142,425;140,8;141,88;141,88;7009458,0;0,0;1,0
2021-07-30;142,0;144,54;141,55;142,23;142,23;14394251,0;0,0;1,0
2021-07-29;139,76;140,18;138,73;139,48;139,48;5413036,0;0,0;1,0
2021-07-28;140,67;140,67;138,71;138,76;138,76;8520172,0;0,0;1,0
2021-07-27;140,15;141,62;140,0;140,85;140,85;7075685,0;0,0;1,0
2021-07-26;139,62;140,82;139,2215;140,28;140,28;5925872,0;0,0;1,0
2021-07-23;137,48;139,98;137,08;139,79;139,79;7872003,0;0,0;1,0
2021-07-22;137,29;138,33;136,71;137,8;137,8;6013750,0;0,8698;1,0
2021-07-21;139,95;140,2;138,99;139,2;138,326874345;6954651,0;0,0;1,0
2021-07-20;140,44;141,98;139,64;139,69;138,813800842;8136613,0;0,0;1,0
2021-07-19;140,32;141,87;138,81;140,44;139,559096501;9544054,0;0,0;1,0
2021-07-16;139,3;140,78;139,11;140,51;139,628657429;9346307,0;0,0;1,0
2021-07-15;138,01;139,26;137,7;139,16;138,287125243;7357063,0;0,0;1,0
2021-07-14;137,01;138,225;136,37;137,98;137,114526739;5903582,0;0,0;1,0
2021-07-13;136,39;137,57;136,39;136,97;136,110861918;5603982,0;0,0;1,0
2021-07-12;136,9;137,465;136,43;137,14;136,279795601;6807323,0;0,0;1,0
2021-07-09;137,24;137,65;136,84;137,03;136,170485571;5948720,0;0,0;1,0
2021-07-08;136,99;137,396;135,89;136,98;136,120799193;7585254,0;0,0;1,0
2021-07-07;136,03;137,59;136,03;137,0;136,140673744;5532809,0;0,0;1,0
2021-07-06;135,52;136,3;135,36;135,98;135,127071648;6534684,0;0,0;1,0
2021-07-02;135,6;136,635;135,42;135,9;135,047573444;5572412,0;0,0;1,0
2021-07-01;135,43;136,14;134,92;135,24;134,391713264;5922398,0;0,0;1,0
2021-06-30;134,58;135,29;134,29;134,93;134,083657725;5776572,0;0,0;1,0
2021-06-29;135,51;135,83;133,82;134,4;133,556982126;5792314,0;0,0;1,0
2021-06-28;134,9;136,16;134,76;135,32;134,471211468;6065743,0;0,0;1,0
2021-06-25;133,26;135,54;132,95;134,92;134,07372045;24504907,0;0,0;1,0
2021-06-24;132,95;133,305;132,7;133,02;132,185638113;6056719,0;0,0;1,0
2021-06-23;132,95;133,36;132,315;132,93;132,096202634;5796165,0;0,0;1,0
2021-06-22;133,04;134,02;132,88;133,12;132,285010868;6551072,0;0,0;1,0
2021-06-21;132,69;133,26;132,4;133,07;132,23532449;8014793,0;0,0;1,0
2021-06-18;133,34;133,35;131,94;132,03;131,201847843;13997625,0;0,0;1,0
2021-06-17;132,82;134,155;132,65;133,99;133,149553832;7875601,0;0,0;1,0
2021-06-16;135,18;135,58;132,65;132,78;131,947143502;8930309,0;0,0;1,0
2021-06-15;135,2;135,64;134,55;134,65;133,805414012;5543565,0;0,0;1,0
2021-06-14;134,98;135,03;133,96;134,91;134,063783174;6302202,0;0,0;1,0
2021-06-11;135,75;135,87;133,9;134,86;134,014096797;10641366,0;0,0;1,0
2021-06-10;135,02;136,35;134,62;135,79;134,938263414;6515559,0;0,0;1,0
2021-06-09;135,55;136,4384;134,74;134,79;133,944535869;6200787,0;0,0;1,0
2021-06-08;136,68;136,75;134,75;134,84;133,994222246;6911504,0;0,0;1,0
2021-06-07;136,36;136,84;135,675;136,42;135,564311768;8418233,0;0,0;1,0
2021-06-04;135,7;136,62;135,4;135,95;135,097259822;6894439,0;0,0;1,0
2021-06-03;133,23;135,91;133,2;135,85;134,997887067;11249823,0;0,0;1,0
2021-06-02;133,0;133,63;132,52;133,46;132,622878233;8254204,0;0,0;1,0
2021-06-01;135,79;136,0;132,48;132,88;132,046516257;9993944,0;0,0;1,0
2021-05-28;135,15;136,13;134,64;134,85;134,004159521;10477732,0;0,0;1,0
2021-05-27;138,12;138,28;134,6633;134,98;134,133344102;33095653,0;0,0;1,0
2021-05-26;138,79;138,86;137,87;138,12;137,253648595;8123078,0;0,0;1,0
2021-05-25;138,05;138,48;136,75;138,43;137,561704135;8142437,0;0,0;1,0
2021-05-24;138,0;138,8;137,73;137,96;137,094652188;6981325,0;0,0;1,0
2021-05-21;138,2;138,94;137,78;138,0;137,13440129;10160960,0;0,0;1,0
2021-05-20;136,79;138,71;136,72;138,0;137,13440129;8768374,0;0,0;1,0
2021-05-19;136,06;136,83;135,585;136,6;135,743182726;9807061,0;0,0;1,0
2021-05-18;136,46;137,83;136,15;136,32;135,464939013;9239099,0;0,0;1,0
2021-05-17;137,97;139,07;137,61;137,73;136,866094853;7690705,0;0,0;1,0
2021-05-14;137,67;139,1;137,67;138,01;137,144338565;5989760,0;0,0;1,0
2021-05-13;135,89;138,53;135,39;137,72;136,856157577;8753803,0;0,0;1,0
2021-05-12;136,49;137,0;135,49;135,54;134,689831528;8853733,0;0,0;1,0
2021-05-11;138,49;138,79;136,47;136,99;136,130736469;10973728,0;0,0;1,0
2021-05-10;135,89;138,4156;135,69;137,67;136,8064712;8852710,0;0,0;1,0
2021-05-07;135,08;136,03;134,765;135,15;134,302277785;6299182,0;0,0;1,0
2021-05-06;134,01;135,3659;133,92;135,14;134,29234051;9771262,0;0,0;1,0
2021-05-05;134,37;134,47;133,37;133,46;132,622878233;5683444,0;0,0;1,0
2021-05-04;134,98;135,83;134,205;134,54;133,696103982;9624263,0;0,0;1,0
2021-05-03;134,03;135,68;134,03;135,0;134,153218653;8070288,0;0,0;1,0
2021-04-30;132,75;133,67;132,265;133,42;132,583129131;9188831,0;0,0;1,0
2021-04-29;131,31;132,985;131,31;132,51;131,678837065;6786955,0;0,0;1,0
2021-04-28;131,71;131,8497;130,88;131,4;130,575799489;6262789,0;0,0;1,0
2021-04-27;131,24;131,89;130,295;131,18;130,357179429;8297033,0;0,0;1,0
2021-04-26;133,49;133,76;131,17;131,26;130,436677633;9910569,0;0,0;1,0
2021-04-23;134,93;135,08;133,25;133,94;133,099867455;6708718,0;0,0;1,0
2021-04-22;135,37;135,79;134,06;134,63;133,785539461;7338314,0;0,8698;1,0
2021-04-21;137,89;138,57;136,6;136,85;135,118657557;8465869,0;0,0;1,0
2021-04-20;134,84;138,59;133,53;137,75;136,007271308;10040612,0;0,0;1,0
2021-04-19;136,94;137,08;135,39;136,61;134,88169389;9149433,0;0,0;1,0
2021-04-16;137,61;137,9;136,88;137,25;135,513597002;7708478,0;0,0;1,0
2021-04-15;135,97;137,76;135,87;137,24;135,503723516;7945349,0;0,0;1,0
2021-04-14;135,52;135,79;134,58;135,6;133,884471792;7584034,0;0,0;1,0
2021-04-13;136,02;136,3899;134,835;135,11;133,400670972;9161190,0;0,0;1,0
2021-04-12;136,5;137,04;135,71;136,92;135,18777196;6441042,0;0,0;1,0
