mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_PCA__n_components;param_SelectKBest__k;param_model__learning_rate;param_model__n_estimators;params;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;mean_test_score;std_test_score;rank_test_score
0,06819424629211426;0,021181584401024488;0,0;0,0;20;80;1;350;{'PCA__n_components': 20, 'SelectKBest__k': 80, 'model__learning_rate': 1, 'model__n_estimators': 350};;;;;;;;72
0,06198244094848633;0,013778524087776675;0,0;0,0;20;80;1;400;{'PCA__n_components': 20, 'SelectKBest__k': 80, 'model__learning_rate': 1, 'model__n_estimators': 400};;;;;;;;52
0,062327098846435544;0,022974514705101687;0,0;0,0;20;80;1;500;{'PCA__n_components': 20, 'SelectKBest__k': 80, 'model__learning_rate': 1, 'model__n_estimators': 500};;;;;;;;51
0,06001734733581543;0,014219197568655983;0,0;0,0;20;80;1.1;350;{'PCA__n_components': 20, 'SelectKBest__k': 80, 'model__learning_rate': 1.1, 'model__n_estimators': 350};;;;;;;;50
0,0505434513092041;0,012874159766964743;0,0;0,0;20;80;1.1;400;{'PCA__n_components': 20, 'SelectKBest__k': 80, 'model__learning_rate': 1.1, 'model__n_estimators': 400};;;;;;;;49
0,05081191062927246;0,02024408571630749;0,0;0,0;20;80;1.1;500;{'PCA__n_components': 20, 'SelectKBest__k': 80, 'model__learning_rate': 1.1, 'model__n_estimators': 500};;;;;;;;48
0,03930268287658691;0,009551328711837347;0,0;0,0;20;80;1.5;350;{'PCA__n_components': 20, 'SelectKBest__k': 80, 'model__learning_rate': 1.5, 'model__n_estimators': 350};;;;;;;;47
0,031603097915649414;0,007659501516465002;0,0;0,0;20;80;1.5;400;{'PCA__n_components': 20, 'SelectKBest__k': 80, 'model__learning_rate': 1.5, 'model__n_estimators': 400};;;;;;;;53
0,04111485481262207;0,007938095066111286;0,0;0,0;20;80;1.5;500;{'PCA__n_components': 20, 'SelectKBest__k': 80, 'model__learning_rate': 1.5, 'model__n_estimators': 500};;;;;;;;46
2,557075595855713;0,8595321122735394;0,11466336250305176;0,008312695969921903;20;all;1;350;{'PCA__n_components': 20, 'SelectKBest__k': 'all', 'model__learning_rate': 1, 'model__n_estimators': 350};0,3592233009708738;0,558252427184466;0,616504854368932;0,8131067961165048;0,6723300970873787;0,6038834951456311;0,148700659495559;21
3,4561415672302247;1,1237079291712477;0,13996710777282714;0,025738137263598256;20;all;1;400;{'PCA__n_components': 20, 'SelectKBest__k': 'all', 'model__learning_rate': 1, 'model__n_estimators': 400};0,3786407766990291;0,4029126213592233;0,42718446601941745;0,8033980582524272;0,6674757281553398;0,5359223300970873;0,16917597609289195;42
3,817985773086548;1,303233587172337;0,1660703182220459;0,030111641653332112;20;all;1;500;{'PCA__n_components': 20, 'SelectKBest__k': 'all', 'model__learning_rate': 1, 'model__n_estimators': 500};0,39805825242718446;0,5509708737864077;0,6407766990291263;0,808252427184466;0,6359223300970874;0,6067961165048543;0,13362306316188888;20
2,8908047676086426;1,0927621401347014;0,13245754241943358;0,030703494921399815;20;all;1.1;350;{'PCA__n_components': 20, 'SelectKBest__k': 'all', 'model__learning_rate': 1.1, 'model__n_estimators': 350};0,35194174757281554;0,45145631067961167;0,5679611650485437;0,7087378640776699;0,6456310679611651;0,5451456310679611;0,12921742891110055;39
3,011273193359375;1,105529911905182;0,11748318672180176;0,007102280664271791;20;all;1.1;400;{'PCA__n_components': 20, 'SelectKBest__k': 'all', 'model__learning_rate': 1.1, 'model__n_estimators': 400};0,4077669902912621;0,3786407766990291;0,6019417475728155;0,8033980582524272;0,6577669902912622;0,5699029126213592;0,15883061925869718;36
3,9053632736206056;1,5718093102992978;0,15079097747802733;0,008117772767623207;20;all;1.1;500;{'PCA__n_components': 20, 'SelectKBest__k': 'all', 'model__learning_rate': 1.1, 'model__n_estimators': 500};0,36893203883495146;0,5194174757281553;0,5800970873786407;0,7888349514563107;0,616504854368932;0,5747572815533981;0,13640172048928345;35
2,7574824333190917;1,0350946032161712;0,1214871883392334;0,018170409907755425;20;all;1.5;350;{'PCA__n_components': 20, 'SelectKBest__k': 'all', 'model__learning_rate': 1.5, 'model__n_estimators': 350};0,42475728155339804;0,3640776699029126;0,6359223300970874;0,6966019417475728;0,5242718446601942;0,5291262135922329;0,12458811393411533;44
3,0038545608520506;1,1734748520117548;0,11952075958251954;0,011312247367920907;20;all;1.5;400;{'PCA__n_components': 20, 'SelectKBest__k': 'all', 'model__learning_rate': 1.5, 'model__n_estimators': 400};0,3932038834951456;0,5388349514563107;0,529126213592233;0,5946601941747572;0,48058252427184467;0,5072815533980582;0,06757867400114505;45
3,9951015949249267;1,4700078185907506;0,16505684852600097;0,01258906454446769;20;all;1.5;500;{'PCA__n_components': 20, 'SelectKBest__k': 'all', 'model__learning_rate': 1.5, 'model__n_estimators': 500};0,3300970873786408;0,3640776699029126;0,6601941747572816;0,6674757281553398;0,6310679611650486;0,5305825242718447;0,15070137967075378;43
0,051103973388671876;0,02879176788809743;0,0;0,0;65;80;1;350;{'PCA__n_components': 65, 'SelectKBest__k': 80, 'model__learning_rate': 1, 'model__n_estimators': 350};;;;;;;;62
