Stock;Model;Preprocessing;CrossValidation;Parameters;Accuracy_1Days_[-inf, -1.5, 1.5, inf];RecallMicro_1Days_[-inf, -1.5, 1.5, inf];RecallMarco_1Days_[-inf, -1.5, 1.5, inf];RecallWeighted_1Days_[-inf, -1.5, 1.5, inf];PreicisionMicro_1Days_[-inf, -1.5, 1.5, inf];PrecisionMarco_1Days_[-inf, -1.5, 1.5, inf];PrecisionWeighted_1Days_[-inf, -1.5, 1.5, inf];F1Micro_1Days_[-inf, -1.5, 1.5, inf];F1Macro_1Days_[-inf, -1.5, 1.5, inf];F1Weighted_1Days_[-inf, -1.5, 1.5, inf];Accuracy_1Days_[-inf, 0, inf];RecallMicro_1Days_[-inf, 0, inf];RecallMarco_1Days_[-inf, 0, inf];RecallWeighted_1Days_[-inf, 0, inf];PreicisionMicro_1Days_[-inf, 0, inf];PrecisionMarco_1Days_[-inf, 0, inf];PrecisionWeighted_1Days_[-inf, 0, inf];F1Micro_1Days_[-inf, 0, inf];F1Macro_1Days_[-inf, 0, inf];F1Weighted_1Days_[-inf, 0, inf];Accuracy_5Days_[-inf, -1.5, 1.5, inf];RecallMicro_5Days_[-inf, -1.5, 1.5, inf];RecallMarco_5Days_[-inf, -1.5, 1.5, inf];RecallWeighted_5Days_[-inf, -1.5, 1.5, inf];PreicisionMicro_5Days_[-inf, -1.5, 1.5, inf];PrecisionMarco_5Days_[-inf, -1.5, 1.5, inf];PrecisionWeighted_5Days_[-inf, -1.5, 1.5, inf];F1Micro_5Days_[-inf, -1.5, 1.5, inf];F1Macro_5Days_[-inf, -1.5, 1.5, inf];F1Weighted_5Days_[-inf, -1.5, 1.5, inf];Accuracy_5Days_[-inf, 0, inf];RecallMicro_5Days_[-inf, 0, inf];RecallMarco_5Days_[-inf, 0, inf];RecallWeighted_5Days_[-inf, 0, inf];PreicisionMicro_5Days_[-inf, 0, inf];PrecisionMarco_5Days_[-inf, 0, inf];PrecisionWeighted_5Days_[-inf, 0, inf];F1Micro_5Days_[-inf, 0, inf];F1Macro_5Days_[-inf, 0, inf];F1Weighted_5Days_[-inf, 0, inf];Accuracy_10Days_[-inf, -1.5, 1.5, inf];RecallMicro_10Days_[-inf, -1.5, 1.5, inf];RecallMarco_10Days_[-inf, -1.5, 1.5, inf];RecallWeighted_10Days_[-inf, -1.5, 1.5, inf];PreicisionMicro_10Days_[-inf, -1.5, 1.5, inf];PrecisionMarco_10Days_[-inf, -1.5, 1.5, inf];PrecisionWeighted_10Days_[-inf, -1.5, 1.5, inf];F1Micro_10Days_[-inf, -1.5, 1.5, inf];F1Macro_10Days_[-inf, -1.5, 1.5, inf];F1Weighted_10Days_[-inf, -1.5, 1.5, inf];Accuracy_10Days_[-inf, 0, inf];RecallMicro_10Days_[-inf, 0, inf];RecallMarco_10Days_[-inf, 0, inf];RecallWeighted_10Days_[-inf, 0, inf];PreicisionMicro_10Days_[-inf, 0, inf];PrecisionMarco_10Days_[-inf, 0, inf];PrecisionWeighted_10Days_[-inf, 0, inf];F1Micro_10Days_[-inf, 0, inf];F1Macro_10Days_[-inf, 0, inf];F1Weighted_10Days_[-inf, 0, inf];training_time;prediction_time;round
AAPL.csv;MLPClassifier;[StandardScaler(), PCA(), SelectKBest()];TimeSeriesSplit(gap=0, max_train_size=None, n_splits=5, test_size=None);{'PCA__n_components': [60, 70, 80, None], 'SelectKBest__k': [20, 45, 50, 65, 80, 'all'], 'model__max_iter': [200, 600], 'model__batch_size': [100, 150, 200], 'model__solver': ['adam'], 'model__activation': ['relu', 'tanh']};0,485596708;0,485596708;0,428859793;0,485596708;0,485596708;0,440086091;0,496257768;0,485596708;0,430639308;0,487987902;0,555555556;0,555555556;0,553644554;0,555555556;0,555555556;0,553396739;0,556884058;0,555555556;0,553369639;0,556069889;0,444444444;0,444444444;0,379083865;0,444444444;0,444444444;0,387830208;0,42850037;0,444444444;0,379387429;0,43293121;0,588477366;0,588477366;0,620956873;0,588477366;0,588477366;0,611490683;0,663793676;0,588477366;0,585380835;0,596439874;0,502057613;0,502057613;0,363901527;0,502057613;0,502057613;0,365669516;0,53047202;0,502057613;0,363579561;0,515129663;0,62962963;0,62962963;0,518744839;0,62962963;0,62962963;0,521676853;0,606555754;0,62962963;0,517857143;0,616255144;0 days 00:15:55.552062;0 days 00:00:00.007993;1
AAPL.csv;RandomForestClassifier;[StandardScaler(), PCA(), SelectKBest()];TimeSeriesSplit(gap=0, max_train_size=None, n_splits=5, test_size=None);{'PCA__n_components': [60, 70, 80, None], 'SelectKBest__k': [20, 45, 50, 65, 80, 'all'], 'model__n_estimators': [250, 300]};0,497942387;0,497942387;0,360549772;0,497942387;0,497942387;0,364864046;0,423165284;0,497942387;0,333563869;0,433776501;0,469135802;0,469135802;0,45546683;0,469135802;0,469135802;0,451145553;0,456182823;0,469135802;0,447581285;0,457011386;0,423868313;0,423868313;0,322547182;0,423868313;0,423868313;0,327184757;0,375471665;0,423868313;0,310335097;0,385518758;0,576131687;0,576131687;0,560983827;0,576131687;0,576131687;0,55621118;0,60148506;0,576131687;0,554112554;0,584694683;0,452674897;0,452674897;0,3497523;0,452674897;0,452674897;0,351918964;0,506253788;0,452674897;0,321424416;0,458642023;0,596707819;0,596707819;0,487118084;0,596707819;0,596707819;0,48579235;0,578672783;0,596707819;0,485436474;0,586860797;0 days 00:01:08.512158;0 days 00:00:00.037822;1
AAPL.csv;AdaBoostClassifier;[StandardScaler(), PCA(), SelectKBest()];TimeSeriesSplit(gap=0, max_train_size=None, n_splits=5, test_size=None);{'PCA__n_components': [60, 70, 80, None], 'SelectKBest__k': [20, 45, 50, 65, 80, 'all'], 'model__n_estimators': [200, 300]};0,485596708;0,485596708;0,34491814;0,485596708;0,485596708;0,360021786;0,411428495;0,485596708;0,308552921;0,404376291;0,526748971;0,526748971;0,495597871;0,526748971;0,526748971;0,490923164;0,49522226;0,526748971;0,434826575;0,454524231;0,378600823;0,378600823;0,390241845;0,378600823;0,378600823;0,387838243;0,436041874;0,378600823;0,359599685;0,378192907;0,563786008;0,563786008;0,503818509;0,563786008;0,563786008;0,504078043;0,55121591;0,563786008;0,502971596;0,556631372;0,588477366;0,588477366;0,307438581;0,588477366;0,588477366;0,237217306;0,42515508;0,588477366;0,256975375;0,48586343;0,592592593;0,592592593;0,450206441;0,592592593;0,592592593;0,432323232;0,540216985;0,592592593;0,436142037;0,562035843;0 days 00:01:25.179007;0 days 00:00:00.021907;1
AAPL.csv;MLPClassifier;[StandardScaler(), SelectKBest()];TimeSeriesSplit(gap=0, max_train_size=None, n_splits=5, test_size=None);{'SelectKBest__k': [50, 'all'], 'model__max_iter': [500], 'model__batch_size': [64, 200], 'model__solver': ['adam'], 'model__activation': ['relu']};0,530864198;0,530864198;0,402207124;0,530864198;0,530864198;0,446305525;0,488165116;0,530864198;0,381889954;0,479773319;0,53909465;0,53909465;0,502661753;0,53909465;0,53909465;0,509163534;0,512229648;0,53909465;0,411927398;0,435560251;0,358024691;0,358024691;0,337367204;0,358024691;0,358024691;0,407969284;0,429909643;0,358024691;0,284386447;0,32912314;0,674897119;0,674897119;0,639263252;0,674897119;0,674897119;0,640060241;0,673992265;0,674897119;0,639648602;0,674433323;0,572016461;0,572016461;0,406164695;0,572016461;0,572016461;0,350233014;0,544918952;0,572016461;0,370515329;0,553042932;0,658436214;0,658436214;0,517712634;0,658436214;0,658436214;0,526960784;0,609033325;0,658436214;0,509186479;0,62390829;0 days 00:00:09.973037;0 days 00:00:00.001987;1
AAPL.csv;RandomForestClassifier;[StandardScaler(), SelectKBest()];TimeSeriesSplit(gap=0, max_train_size=None, n_splits=5, test_size=None);{'SelectKBest__k': [50, 'all'], 'model__n_estimators': [50, 100, 200], 'model__max_depth': [8, 16, None]};0,399176955;0,399176955;0,285304419;0,399176955;0,399176955;0,227777778;0,304023777;0,399176955;0,250479628;0,342340585;0,543209877;0,543209877;0,5;0,543209877;0,543209877;0,271604938;0,29507697;0,543209877;0,352;0,382419753;0,522633745;0,522633745;0,333333333;0,522633745;0,522633745;0,174211248;0,273146031;0,522633745;0,228828829;0,358781003;0,654320988;0,654320988;0,5;0,654320988;0,654320988;0,327160494;0,428135955;0,654320988;0,395522388;0,517597199;0,646090535;0,646090535;0,333333333;0,646090535;0,646090535;0,215363512;0,417432979;0,646090535;0,261666667;0,50718107;0,711934156;0,711934156;0,5;0,711934156;0,711934156;0,355967078;0,506850243;0,711934156;0,415865385;0,592137544;0 days 00:00:15.774245;0 days 00:00:00.004980;1
AAPL.csv;AdaBoostClassifier;[StandardScaler(), SelectKBest()];TimeSeriesSplit(gap=0, max_train_size=None, n_splits=5, test_size=None);{'SelectKBest__k': [50, 'all'], 'model__n_estimators': [50, 100, 200]};0,502057613;0,502057613;0,327352197;0,502057613;0,502057613;0,22940613;0,301984296;0,502057613;0,238146397;0,357787717;0,580246914;0,580246914;0,541973792;0,580246914;0,580246914;0,705685619;0,693546389;0,580246914;0,4478257;0,471194149;0,518518519;0,518518519;0,343225847;0,518518519;0,518518519;0,591201717;0,578180469;0,518518519;0,268264636;0,384562739;0,654320988;0,654320988;0,5;0,654320988;0,654320988;0,327160494;0,428135955;0,654320988;0,395522388;0,517597199;0,646090535;0,646090535;0,333333333;0,646090535;0,646090535;0,215363512;0,417432979;0,646090535;0,261666667;0,50718107;0,70781893;0,70781893;0,50136251;0,70781893;0,70781893;0,522916667;0,603275034;0,70781893;0,427742214;0,597435754;0 days 00:00:10.015632;0 days 00:00:00.007999;1
AMGN.csv;MLPClassifier;[StandardScaler(), PCA(), SelectKBest()];TimeSeriesSplit(gap=0, max_train_size=None, n_splits=5, test_size=None);{'PCA__n_components': [60, 70, 80, None], 'SelectKBest__k': [20, 45, 50, 65, 80, 'all'], 'model__max_iter': [200, 600], 'model__batch_size': [100, 150, 200], 'model__solver': ['adam'], 'model__activation': ['relu', 'tanh']};0,617283951;0,617283951;0,333751536;0,617283951;0,617283951;0,353446227;0,502477938;0,617283951;0,298148148;0,526017375;0,489711934;0,489711934;0,515710196;0,489711934;0,489711934;0,527831442;0,532330017;0,489711934;0,442082654;0,429336791;0,300411523;0,300411523;0,309105321;0,300411523;0,300411523;0,292627146;0,292300724;0,300411523;0,292534629;0,287478519;0,395061728;0,395061728;0,396813559;0,395061728;0,395061728;0,3951935;0,395223254;0,395061728;0,393582888;0,392720231;0,49382716;0,49382716;0,443004533;0,49382716;0,49382716;0,446124031;0,473102689;0,49382716;0,436343384;0,476468013;0,567901235;0,567901235;0,579811887;0,567901235;0,567901235;0,586727892;0,591766012;0,567901235;0,56289723;0,559240457;0 days 00:11:14.718134;0 days 00:00:00.002000;1
AMGN.csv;RandomForestClassifier;[StandardScaler(), PCA(), SelectKBest()];TimeSeriesSplit(gap=0, max_train_size=None, n_splits=5, test_size=None);{'PCA__n_components': [60, 70, 80, None], 'SelectKBest__k': [20, 45, 50, 65, 80, 'all'], 'model__n_estimators': [250, 300]};0,633744856;0,633744856;0,330721318;0,633744856;0,633744856;0,276334776;0,459462348;0,633744856;0,276099686;0,518674559;0,50617284;0,50617284;0,504430207;0,50617284;0,50617284;0,504412164;0,507453331;0,50617284;0,504283966;0,506676539;0,304526749;0,304526749;0,327060932;0,304526749;0,304526749;0,317773561;0,317832127;0,304526749;0,277467709;0,264609465;0,489711934;0,489711934;0,487864407;0,489711934;0,489711934;0,487673874;0,488134081;0,489711934;0,486573064;0,48772949;0,395061728;0,395061728;0,380700173;0,395061728;0,395061728;0,378903388;0,391226597;0,395061728;0,361856121;0,373694801;0,481481481;0,481481481;0,499659215;0,481481481;0,481481481;0,499567848;0,502608918;0,481481481;0,461330049;0,453183726;0 days 00:00:56.070491;0 days 00:00:00.021003;1
AMGN.csv;AdaBoostClassifier;[StandardScaler(), PCA(), SelectKBest()];TimeSeriesSplit(gap=0, max_train_size=None, n_splits=5, test_size=None);{'PCA__n_components': [60, 70, 80, None], 'SelectKBest__k': [20, 45, 50, 65, 80, 'all'], 'model__n_estimators': [200, 300]};0,526748971;0,526748971;0,396386167;0,526748971;0,526748971;0,401875902;0,538203909;0,526748971;0,395847678;0,530701556;0,485596708;0,485596708;0,484698746;0,485596708;0,485596708;0,48478585;0,48786711;0,485596708;0,48433919;0,48633026;0,407407407;0,407407407;0,416459884;0,407407407;0,407407407;0,420710868;0,427014506;0,407407407;0,390454546;0,387230146;0,580246914;0,580246914;0,579898305;0,580246914;0,580246914;0,579898305;0,580246914;0,580246914;0,579898305;0,580246914;0,382716049;0,382716049;0,387373851;0,382716049;0,382716049;0,380393999;0,395468124;0,382716049;0,373324151;0,377034656;0,485596708;0,485596708;0,510598419;0,485596708;0,485596708;0,517759251;0,521701756;0,485596708;0,441892513;0,429681046;0 days 00:01:18.904506;0 days 00:00:00.027045;1
AMGN.csv;MLPClassifier;[StandardScaler(), SelectKBest()];TimeSeriesSplit(gap=0, max_train_size=None, n_splits=5, test_size=None);{'SelectKBest__k': [50, 'all'], 'model__max_iter': [500], 'model__batch_size': [64, 200], 'model__solver': ['adam'], 'model__activation': ['relu']};0,650205761;0,650205761;0,333333333;0,650205761;0,650205761;0,216735254;0,422767532;0,650205761;0,262676642;0,512381597;0,489711934;0,489711934;0,520890131;0,489711934;0,489711934;0,556238532;0,562787783;0,489711934;0,414685315;0,398300191;0,366255144;0,366255144;0,380502711;0,366255144;0,366255144;0,348148148;0,347599451;0,366255144;0,298517612;0,28897754;0,534979424;0,534979424;0,524508475;0,534979424;0,534979424;0,552164502;0,551484866;0,534979424;0,457171098;0,463091297;0,362139918;0,362139918;0,339506173;0,362139918;0,362139918;0,453168044;0,350933578;0,362139918;0,188413005;0,197431253;0,46090535;0,46090535;0,5;0,46090535;0,46090535;0,230452675;0,212433741;0,46090535;0,315492958;0,290824784;0 days 00:00:05.816455;0 days 00:00:00.001912;1
