Stock;Model;Preprocessing;CrossValidation;Parameters;Accuracy_1Days_[-inf, -1.5, 1.5, inf];PreicisionMicro_1Days_[-inf, -1.5, 1.5, inf];PrecisionMarco_1Days_[-inf, -1.5, 1.5, inf];PrecisionWeighted_1Days_[-inf, -1.5, 1.5, inf];Accuracy_1Days_[-inf, 0, inf];Accuracy_5Days_[-inf, -1.5, 1.5, inf];PreicisionMicro_5Days_[-inf, -1.5, 1.5, inf];PrecisionMarco_5Days_[-inf, -1.5, 1.5, inf];PrecisionWeighted_5Days_[-inf, -1.5, 1.5, inf];Accuracy_5Days_[-inf, 0, inf];Accuracy_10Days_[-inf, -1.5, 1.5, inf];PreicisionMicro_10Days_[-inf, -1.5, 1.5, inf];PrecisionMarco_10Days_[-inf, -1.5, 1.5, inf];PrecisionWeighted_10Days_[-inf, -1.5, 1.5, inf];Accuracy_10Days_[-inf, 0, inf];training_time;prediction_time;round
AAPL.csv;MLPClassifier;[StandardScaler(), SelectKBest()];TimeSeriesSplit(gap=0, max_train_size=None, n_splits=5, test_size=None);{'SelectKBest__k': [50, 'all'], 'model__max_iter': [500], 'model__batch_size': [64, 200], 'model__solver': ['adam'], 'model__activation': ['relu']};0,530864198;0,530864198;0,446305525;0,488165116;0,53909465;0,358024691;0,358024691;0,407969284;0,429909643;0,674897119;0,572016461;0,572016461;0,350233014;0,544918952;0,658436214;0 days 00:00:09.973037;0 days 00:00:00.001987;1
AAPL.csv;RandomForestClassifier;[StandardScaler(), SelectKBest()];TimeSeriesSplit(gap=0, max_train_size=None, n_splits=5, test_size=None);{'SelectKBest__k': [50, 'all'], 'model__n_estimators': [50, 100, 200], 'model__max_depth': [8, 16, None]};0,399176955;0,399176955;0,227777778;0,304023777;0,543209877;0,522633745;0,522633745;0,174211248;0,273146031;0,654320988;0,646090535;0,646090535;0,215363512;0,417432979;0,711934156;0 days 00:00:15.774245;0 days 00:00:00.004980;1
AAPL.csv;MLPClassifier;[StandardScaler(), SelectKBest()];TimeSeriesSplit(gap=0, max_train_size=None, n_splits=5, test_size=None);{};0,530864198;0,530864198;0,433119658;0,474765598;0,514403292;0,522633745;0,522633745;0,176388889;0,276560357;0,654320988;0,604938272;0,604938272;0,325219197;0,50756104;0,650205761;0 days 00:00:03.101012;0 days 00:00:00.003000;2
AAPL.csv;AdaBoostClassifier;[StandardScaler(), SelectKBest()];TimeSeriesSplit(gap=0, max_train_size=None, n_splits=5, test_size=None);{'SelectKBest__k': [50, 'all'], 'model__n_estimators': [50, 100, 200]};0,502057613;0,502057613;0,22940613;0,301984296;0,580246914;0,518518519;0,518518519;0,591201717;0,578180469;0,654320988;0,646090535;0,646090535;0,215363512;0,417432979;0,70781893;0 days 00:00:10.015632;0 days 00:00:00.007999;1
AAPL.csv;AdaBoostClassifier;[StandardScaler(), SelectKBest()];TimeSeriesSplit(gap=0, max_train_size=None, n_splits=5, test_size=None);{'SelectKBest__k': [80, 'all'], 'model__n_estimators': [350, 400, 500], 'model__learning_rate': [1, 1.1, 1.5]};0,456790123;0,456790123;0,351309185;0,397929993;0,477366255;0,481481481;0,481481481;0,190699289;0,281810528;0,654320988;0,646090535;0,646090535;0,215363512;0,417432979;0,711934156;0 days 00:01:36.374077;0 days 00:00:00.047079;2
AAPL.csv;Dummy;;;;0,518518519;0,518518519;0,172839506;0,268861454;0,543209877;0,522633745;0,522633745;0,174211248;0,273146031;0,654320988;0,646090535;0,646090535;0,215363512;0,417432979;0,711934156;;;0
AMGN.csv;LSTM_withLags;;;;;;;;;;;;;0,419753086;0,518518519;0,518518519;0,429231463;0,518518519;0,49382716;;;5
AMGN.csv;MLPClassifier;[StandardScaler(), PCA(), SelectKBest()];TimeSeriesSplit(gap=0, max_train_size=None, n_splits=5, test_size=None);{'PCA__n_components': [60, 70, 80, None], 'SelectKBest__k': [20, 45, 50, 65, 80, 'all'], 'model__max_iter': [200, 600], 'model__batch_size': [100, 150, 200], 'model__solver': ['adam'], 'model__activation': ['relu', 'tanh']};0,617283951;0,617283951;0,353446227;0,502477938;0,489711934;0,300411523;0,300411523;0,292627146;0,292300724;0,395061728;0,49382716;0,49382716;0,446124031;0,473102689;0,567901235;0 days 00:11:14.718134;0 days 00:00:00.002000;1
AMGN.csv;RandomForestClassifier;[StandardScaler(), SelectKBest()];TimeSeriesSplit(gap=0, max_train_size=None, n_splits=5, test_size=None);{'SelectKBest__k': [50, 'all'], 'model__n_estimators': [50, 100, 200], 'model__max_depth': [8, 16, None]};0,650205761;0,650205761;0,216735254;0,422767532;0,489711934;0,329218107;0,329218107;0,234456929;0,218282702;0,576131687;0,448559671;0,448559671;0,424233284;0,449597729;0,592592593;0 days 00:00:14.318841;0 days 00:00:00.007019;1
AMGN.csv;LSTM;;;;0,651639344;0,651639344;0,333333333;0,651639344;0,459016393;0,290983607;0,290983607;0,323615502;0,290983607;0,516393443;0,418032787;0,418032787;0,333333333;0,418032787;0,569672131;;;3
